"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"NAIL","Direxion Daily Homebuilders & Supplies Bull 3X Shares","10168364","100","63.615","84.561","51.307","54.9761","24.414","2.14642","50.4271","63.615","101.7","98.45","-3.2",""
"SCDL","ETRACS 2x Leveraged U.S. Dividend Factor TR ETN","10652239","25.55","63.15","75.6581","65.622","48.16892","40.67152","37.02562","44.41183","63.15","33.63","34.91","3.81",""
"DFEN","Direxion Daily Aerospace & Defense Bull 3X Shares","6598","99.25","62.901","83.9921","49.375","55.3358","85.425015","80.63273","54.91113","62.901","26.61","27.44","3.12",""
"BNKU","MicroSectors U.S. Big Banks Index 3X Leveraged ETNs","668517","100","62.882","84.1","50.777","53.76792","71.11335","88.27234","56.25088","62.882","27.51","29.14","5.93",""
"SKYU","ProShares Ultra Nasdaq Cloud Computing ETF","23113928","75.95","62.78","83.7161","50.692","53.93121","48.412715","22.16707","49.38423","62.78","22.63","23.06","1.9",""
"IWFL","ETRACS 2x Leveraged US Growth Factor TR ETN","11599686","100","62.476","99.8","32.518","55.10966","100","100","57.99737","62.476","41.16","41.38","0.53",""
"XDOC","Innovator U.S. Equity Accelerated ETF - October","81220359","4.4","62.419","99.8","28.36","59.09626","100","100","74.13065","62.419","29.03","29.08","0.17",""
"EFO","ProShares Ultra MSCI EAFE","1035071437","100","62.321","80.2305","55.261","51.47278","78.91216","95.52014","47.50279","62.321","45.28","45.36","0.18",""
"UCYB","ProShares Ultra Nasdaq Cybersecurity ETF","73804","100","62.16","80.591","51.009","54.87882","50","1.98786","38.06852","62.16","38.61","38.92","0.8",""
"OOTO","Direxion Daily Travel & Vacation Bull 2X Shares","486222","100","62.016","76.3358","57.194","52.51934","15.071875","0","56.19397","62.016","13.85","14.22","2.67",""
"HIBL","Direxion Daily S&P 500 High Beta Bull 3X Shares","225491072","100","61.712","80.9324","53.846","50.35625","67.440325","12.65342","49.93936","61.712","41.45","41.69","0.58",""
"RETL","Direxion Daily Retail Bull 3X Shares","119152","100","61.374","79.0206","55.697","49.40429","68.508235","71.02823","54.83956","61.374","9.27","9.39","1.29",""
"BIB","ProShares Ultra Nasdaq Biotechnology","59919","-74.75","61.327","74.403","57.996","51.58315","89.20112","97.88396","51.71169","61.327","59.11","59.29","0.3",""
"GDXU","MicroSectors Gold Miners 3X Leveraged ETN","14051","-35.6","61.054","87.329","46.341","49.49298","50","84.2082","62.69496","61.054","32.99","33.8","2.46",""
"UPV","ProShares Ultra FTSE Europe","3316356","100","61.016","83.1697","46.507","53.37222","96.20524","98.92831","58.7637","61.016","62.32","63.23","1.46",""
"CURE","Direxion Daily Healthcare Bull 3X Shares","3278304","-71.25","60.621","78.2856","53.308","50.27051","58.414215","73.17165","54.05028","60.621","116.09","118.63","2.19",""
"BDCX","ETRACS Quarterly Pay 1.5x Leveraged MarketVector BDC Liquid Index ETN","133318","19.85","60.49","76.8514","46.682","57.93516","84.000245","100","57.55228","60.49","33.63","33.77","0.42",""
"FLYU","MicroSectors Travel 3x Leveraged ETN","87620","100","60.451","79.473","51.656","50.22471","15.43843","0","62.8668","60.451","39.33","42.8","8.82",""
"MVV","ProShares Ultra MidCap 400","14828","100","60.396","80.3308","47.906","52.95097","59.81698","57.72105","43.08825","60.396","61.72","62.4","1.1",""
"TPOR","Direxion Daily Transportation Bull 3X Shares","600430","100","60.336","72.2023","58.421","50.38482","19.45657","0","49.42265","60.336","27.58","28.45","3.15",""
"MIDU","Direxion Daily Mid Cap Bull 3X Shares","35474","100","60.153","79.2801","48.53","52.64844","57.36941","49.41158","40.83653","60.153","47.07","48.31","2.63",""
"HDLB","ETRACS Monthly Pay 2x Leveraged US High Dividend Low Volatility ETN Series B","272405","-129.15","60.1","67.9554","61.073","51.27168","50","59.95438","69.50602","60.1","11.38","11.85","4.13",""
"UYM","ProShares Ultra Materials","2558176882","78.65","60.093","78.2539","47.28","54.7455","46.85047","41.13455","50.17082","60.093","25.96","26.53","2.2",""
"EDC","Direxion Daily MSCI Emerging Markets Bull 3x Shares","2397024","100","59.995","75.5313","52.313","52.13994","91.44339","98.95361","56.53012","59.995","31.91","33.17","3.95",""
"UPW","ProShares Ultra Utilities","601378868","-103.7","59.972","71.1898","57.514","51.21163","88.04305","100","63.59831","59.972","62.11","61.42","-1.11",""
"EET","ProShares Ultra MSCI Emerging Markets","229392075","100","59.858","76.0403","50.762","52.7726","92.373435","99.4123","68.04414","59.858","53.77","54.92","2.14",""
"UMDD","ProShares UltraPro MidCap 400","3256048","100","59.119","79.3159","46.767","51.2747","57.55969","48.76399","49.08838","59.119","23.68","24.25","2.41",""
"BITX","2x Bitcoin Strategy ETF","154231472","100","58.855","87.655","40.319","48.59114","39.165875","15.00727","47.12738","58.855","42.03","37.87","-9.9",""
"NUGT","Direxion Daily Gold Miners Index Bull 2X Shares","526804791","-44.25","58.374","74.3781","50.461","50.28431","50","90.32154","62.62366","58.374","37.01","37.93","2.49",""
"URTY","ProShares UltraPro Russell 2000","700330","100","58.261","72.4101","51.148","51.22542","69.746535","43.34718","48.74929","58.261","41.52","41.92","0.96",""
"UBOT","Direxion Daily Robotics, Artificial Intelligence & Automation Index Bull 2X","3274937811","100","58.231","83.1571","39.225","52.31239","61.070245","76.20834","57.30549","58.231","23.6","22.73","-3.69",""
"UWM","ProShares Ultra Russell 2000","1766105","100","58.215","73.2656","49.769","51.61074","72.595175","57.01183","50.31834","58.215","36.18","36.41","0.64",""
"TNA","Direxion Daily Small Cap Bull 3X Shares","247500340","100","57.613","72.4318","49.01","51.39591","69.58821","43.89054","51.16053","57.613","35.3","35.6","0.85",""
