"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"KORU","Direxion MSCI Daily South Korea Bull 3X Shares","4897693","45.589","57.1901","37.55","49.103","47.55556","7.164915","0.54696","41.5048",""
"LABD","Direxion Daily S&P Biotech Bear 3x Shares","96729608","15.96","57.2939","-149.45","49.134","47.55556","62.75537","38.08943","43.58353",""
"LABU","Direxion Daily S&P Biotech Bull 3X Shares","119461524","56.474","72.2952","100","47.288","50.88889","29.04693","22.96921","59.97273",""
"LTL","ProShares Ultra Communication Services","212637","80.191","99.8","83.1","52.032","56.36364","100","100","70.03835",""
"MEXX","Direxion Daily MSCI Mexico Bull 3X Shares","1841757","43.587","58.8207","90.9","37.592","51.11111","37.643655","0","41.97595",""
"MIDU","Direxion Daily Mid Cap Bull 3X Shares","4940653","73.113","81.1502","100","47.664","53.11111","80.817185","100","68.23091",""
"MLPR","ETRACS Quarterly Pay 1.5x Leveraged Alerian MLP Index ETN","30559","41.719","80.4194","27.75","55.914","53.75854","50","35.54512","38.64415",""
"MSFD","Direxion Daily MSFT Bear 1X Shares ETF","1229924","21.605","32.6141","-73.2","50.122","45.55556","50","48.71033","47.43269",""
"MSFU","Direxion Daily MSFT Bull 2X Shares","19784874","51.489","88.1954","100","42.331","53.11111","45.97931","17.84327","50.90335",""
"MSOX","Advisor Shares MSOS 2x Daily ETF","5497303","-2.705","65.1139","-238.25","44.329","44.88889","47.59783","14.92824","45.25146",""
"MTUL","ETRACS 2x Leveraged MSCI US Momentum Factor TR ETN","9767","79.9","93.0828","98.75","63.032","52.94118","88.266025","100","74.9613",""
"MVV","ProShares Ultra MidCap 400","1173242","72.524","81.9687","100","51.41","52.44444","83.175185","100","55.49207",""
"MYY","ProShares Short S&P Mid Cap400","464643","27.822","45.1369","-52.1","48.186","45.55556","12.17817","0","32.33136",""
"MZZ","ProShares UltraShort MidCap400","21065","21.837","47.212","-104.3","49.384","45.75893","13.36427","0","41.52938",""
"NAIL","Direxion Daily Homebuilders & Supplies Bull 3X Shares","58941946","57.609","95.4753","60.6","54.382","55.55556","53.194415","67.88827","62.97206",""
"NUGT","Direxion Daily Gold Miners Index Bull 2X Shares","90839529","58.364","73.9312","35.25","49.7","49.55556","74.071825","93.27346","58.69239",""
"NVDD","Direxion Daily NVDA Bear 1X Shares","24823141","23.839","30.2","-106.7","53.557","42.12329","0","0","47.69561",""
"NVDL","GraniteShares 2x Long NVDA Daily ETF","1248130272","79.29","99.8","100","47.405","55.55556","100","97.9159","54.35586",""
"NVDS","AXS 1.25X NVDA Bear Daily ETF","61966948","15.729","31.2082","-160.1","53.854","43.77778","2.78777","0","46.93991",""
"NVDU","Direxion Daily NVDA Bull 2X Shares","101131827","79.778","99.8","100","47.008","57.87671","100","98.02928","55.73137",""
"OOTO","Direxion Daily Travel & Vacation Bull 2X Shares","164575","79.202","79.4478","100","55.506","52.66667","100","100","66.7917",""
"PILL","Direxion Daily Pharmaceutical & Medical Bull 3X Shares","433990","65.609","69.5713","100","50.042","50.44444","65.901265","100","57.40033",""
"PSQ","ProShares Short QQQ","148849053","26.387","30.2","-64.9","49.059","41.33333","9.07961","0","47.1772",""
"QID","ProShares UltraShort QQQ","199526038","17.665","30.2","-131.3","51.973","42.88889","8.13206","0","46.15707",""
"QLD","ProShares Ultra QQQ","289816197","75.758","99.8","100","52.063","57.55556","83.24158","100","54.4071",""
"QTJA","Innovator Growth Accelerated Plus ETF - January","133097","70.929","99.8","21.5","52.989","55.55556","100","100","66.66065",""
"QTOC","Innovator Growth Accelerated Plus ETF - October","97105","70.93","99.8","39.8","59.879","60.13825","87.272145","99.40155","62.94425",""
"QULL","ETRACS 2x Leveraged MSCI US Quality Factor TR ETN","9213","67.558","99.8","91.8","35.299","53.35689","75.33217","98.59591","43.39109",""
"RETL","Direxion Daily Retail Bull 3X Shares","2613303","55.312","72.6262","100","54.061","48.66667","50","58.13763","53.68924",""
"REW","ProShares UltraShort Technology","208016","13.813","30.2","-151.7","49.749","41.77778","11.00694","0","48.67818",""
"ROM","ProShares Ultra Technology","2706005","74.686","98.9142","100","60.745","58.22222","77.06448","99.43651","51.35536",""
"RWM","ProShares Short Russell2000","95388891","23.797","49.9403","-72","49.879","48","26.662025","0","44.08073",""
"RXD","ProShares UltraShort Health Care","49976","36.833","52.3657","-44.75","39.656","46.7706","69.255815","86.90661","38.37286",""
"RXL","ProShares Ultra Health Care","305748","47.669","75.1472","49.35","65.005","51.77778","34.075985","7.14927","53.40295",""
"SAA","ProShares Ultra SmallCap 600","242719","65.671","78.087","100","47.391","50","64.28706","96.24522","59.40094",""
"SBB","ProShares Short SmallCap600","304514","21.158","52.6853","-73.5","39.796","49.55556","30.59513","0.22615","40.53014",""
"SCC","ProShares UltraShort Consumer Discretionary","48341","14.043","38.2437","-123.45","38.364","44.66667","19.333315","0","39.14301",""
"SCDL","ETRACS 2x Leveraged U.S. Dividend Factor TR ETN","3319","57.412","80.9643","39.75","56.321","49.24812","62.701685","100","50.20066",""
"SDD","ProShares UltraShort SmallCap600","37284","15.349","53.9256","-143.4","54.423","49.22049","31.27004","0","55.81125",""
"SDOW","ProShares UltraPro Short Dow30","229262234","15.334","37.8982","-136.9","47.771","44","13.759495","0","42.0893",""
"SDP","ProShares UltraShort Utilities","584401","30.676","52.0567","3.7","47.291","45.33333","43.026235","1.54058","50.86124",""
"SDS","ProShares UltraShort S&P500","247644399","24.006","30.2","-100.9","51.519","43.11111","0","0","44.10995",""
"SEF","ProShares Short Financials","558019","24.154","35.981","-55.65","46.084","41.77778","17.054295","0","34.99464",""
"SH","ProShares Short S&P500","341827759","31.172","30.2","-50.05","52.319","41.77778","0","0","43.95536",""
"SHNY","MicroSectors Gold 3X Leveraged ETNs","1666027","59.736","90.5024","-8","47.669","49.88345","89.70716","100","58.68193",""
"SIJ","ProShares UltraShort Industrials","75463","21.315","35.0355","-96.8","43.999","44.66667","6.48208","0","35.26834",""
"SKF","ProShares UltraShort Financials","561590","18.308","37.9335","-112.6","56.864","43.55556","21.65177","0","45.70881",""
"SKYU","ProShares Ultra Nasdaq Cloud Computing ETF","79524","81.643","96.4195","100","52.99","56.12472","100","100","65.96932",""
"SMDD","ProShares UltraPro Short MidCap400","132405","13.673","47.3013","-160.9","53.939","46.54788","16.297215","0","41.41552",""
"SMHB","ETRACS 2x Monthly Pay Leveraged US Small Cap High Dividend ETN Series B","215164","43.168","62.3953","61.4","43.77","45.33333","50","39.59651","49.68217",""
"SMN","ProShares UltraShort Materials","55993","25.477","53.3694","-62.75","46.451","44.88889","18.518705","0.36951","33.04995",""
"SOXL","Direxion Daily Semiconductor Bull 3X Shares","2936353498","52.565","87.6311","100","49.103","51.77778","50","29.49712","49.94482",""
"SOXS","Direxion Daily Semiconductor Bear 3x Shares","1265068912","-3.273","40.9944","-274.5","57.433","47.11111","22.194845","0.78725","49.65618",""
"SPDN","Direxion Daily S&P 500 Bear 1x Shares","83314668","31.04","30.2","-51.35","52.878","43.55556","1.021025","0","44.04022",""
"SPUU","Direxion Daily S&P 500 Bull 2x Shares","4091138","82.422","99.8","100","62.051","55.33333","97.91523","100","63.93938",""
"SPXL","Direxion Daily S&P 500 Bull 3X Shares","525838545","79.387","99.8","100","51.638","56.22222","94.557715","100","58.93639",""
"SPXS","Direxion Daily S&P 500 Bear 3X Shares","300831656","16.067","30.2","-153.8","50.467","42.66667","0","0","42.93733",""
"SPXU","ProShares UltraPro Short S&P500","232049231","16.261","30.2","-151.3","50.551","42.88889","0","0","41.48461",""
"SQQQ","ProShares UltraPro Short QQQ","1224485672","7.61","30.2","-199.7","48.39","41.55556","5.44509","0","43.71638",""
"SRTY","ProShares UltraPro Short Russell2000","29638378","3.006","50.9018","-215.75","50.761","48.22222","27.734995","0","42.37732",""
"SSG","Proshares Ultrashort Semiconductors","1047921","5.383","30.2","-241.25","54.018","45.11111","0","0","49.60309",""
"SSO","ProShares Ultra S&P 500","197110636","79.763","99.8","100","51.793","56.44444","96.885615","100","56.53128",""
"SVIX","VS TR -1X Short VIX Futures ETF","62236246","49.103","76.0243","100","41.278","60.88889","44.65448","2.72672","52.10945",""
"SVOL","Simplify Volatility Premium ETF","19683103","47.317","61.0949","50","38.078","56","9.73709","0","45.52265",""
"SVXY","ProShares ShortVIXShort-Term FuturesETF","65611959","49.907","78.1848","100","42.276","60.88889","42.624485","6.65055","46.60043",""
"SZK","ProShares UltraShort Consumer Staples","56166","34.184","53.2145","-4.9","52.209","47.21604","50","46.2488","45.29774",""
"TARK","AXS 2X Innovation ETF Fund","2554969","66.747","77.3973","100","53.485","50.66667","63.484135","99.54834","59.1637",""
"TECL","Direxion Daily Technology Bull 3X Shares","90689647","72.352","97.7578","100","52.26","57.55556","74.475645","97.43273","52.50468",""
"TECS","Direxion Daily Technology Bear 3X Shares","91114635","2.573","30.2","-237.5","55.71","41.55556","9.080425","0","46.20977",""
"TNA","Direxion Daily Small Cap Bull 3X Shares","597699145","67.153","79.6655","100","49.756","51.55556","66.363095","98.36262","58.00381",""
