"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"URTY","ProShares UltraPro Russell 2000","6172535","100","60.444","78.5757","50.359","52.39714","50","67.56599","55.95276","60.444","49.83","52.46","5.28",""
"UWM","ProShares Ultra Russell 2000","2768632","100","60.362","79.3785","49.917","51.79108","50","78.17714","56.86182","60.362","41.63","43.13","3.6",""
"TPOR","Direxion Daily Transportation Bull 3X Shares","17659","100","60.295","72.8873","57.102","50.89529","54.03145","75.99484","51.50188","60.295","30.32","30.43","0.36",""
"TNA","Direxion Daily Small Cap Bull 3X Shares","82689","100","60.261","78.505","49.709","52.56763","50","66.8881","55.91492","60.261","42.25","44.5","5.33",""
"MIDU","Direxion Daily Mid Cap Bull 3X Shares","36812473","100","60.213","80.4336","46.768","53.43681","50.40674","63.0656","55.1698","60.213","51.22","54.38","6.17",""
"RETL","Direxion Daily Retail Bull 3X Shares","20316","100","60.007","76.8805","55.045","48.0946","26.40254","16.33395","52.77486","60.007","8.87","9.12","2.82",""
"LABU","Direxion Daily S&P Biotech Bull 3X Shares","45009718","100","59.885","79.2622","48.841","51.55161","60.47071","97.70274","60.45571","59.885","141","140.24","-0.54",""
"UMDD","ProShares UltraPro MidCap 400","3688125","100","59.829","80.7173","46.793","51.97635","50","63.58469","55.53563","59.829","25.65","27.41","6.86",""
"JNUG","Direxion Daily Junior Gold Miners Index Bull 2X Shares","101963201","100","59.766","81.2422","47.869","50.18675","79.301095","73.23186","53.45293","59.766","47.86","49.33","3.07",""
"EZJ","ProShares Ultra MSCI Japan","143178198","100","59.753","75.3801","49.246","54.634","60.87156","66.07618","58.04366","59.753","40.35","41.65","3.22",""
"GGLL","Direxion Daily GOOGL Bull 2X Shares","79338","100","59.632","75.6066","46.598","56.69278","0","0","57.30355","59.632","33.94","36.58","7.78",""
"EDC","Direxion Daily MSCI Emerging Markets Bull 3x Shares","2032258","100","59.497","73.5947","50.736","54.15915","39.894415","30.45049","58.12766","59.497","31.93","33.5","4.92",""
"TSLL","Direxion Daily TSLA Bull 2X Shares","5931761","100","59.489","74.3661","52.895","51.2067","50","18.00635","61.7889","59.489","10.83","11.61","7.2",""
"HIBL","Direxion Daily S&P 500 High Beta Bull 3X Shares","82184","100","59.327","76.5164","50.163","51.30131","27.743","10.37034","56.88528","59.327","39.46","43.13","9.3",""
"GDXU","MicroSectors Gold Miners 3X Leveraged ETN","1735837","100","59.277","80.6214","46.734","50.47549","72.93415","84.27699","54.31059","59.277","48.33","49.92","3.29",""
"MSFU","Direxion Daily MSFT Bull 2X Shares","14767708","98.1","59.12","79.7655","43.551","54.04484","28.84186","2.20855","54.69527","59.12","44.76","45.67","2.03",""
"CLDL","Direxion Daily Cloud Computing Bull 2X Shares","5210498","100","59.094","75.0604","46.081","56.14092","58.72382","66.18291","55.51644","59.094","9.56","10.12","5.86",""
"EFO","ProShares Ultra MSCI EAFE","24111","90.35","59.027","79.4522","45.462","52.16654","92.155215","82.00401","52.11352","59.027","48.6","49.08","0.99",""
"COWS","Amplify Cash Flow Dividend Leaders ETF","816735","43.35","58.913","77.8419","47.231","51.66652","67.43094","81.02746","50.60011","58.913","28.87","29.28","1.42",""
"EET","ProShares Ultra MSCI Emerging Markets","553272","94.35","58.565","74.1604","46.778","54.75634","43.082405","40.20275","63.74703","58.565","53.59","55.86","4.24",""
"SAA","ProShares Ultra SmallCap 600","37348","100","58.403","78.7956","45.758","50.65681","51.78508","84.72313","58.8506","58.403","25.95","27.04","4.2",""
"TARK","AXS 2X Innovation ETF Fund","72726017","100","58.389","71.6553","52.038","51.47376","31.27752","20.50748","55.29987","58.389","60","64.15","6.92",""
"IWML","ETRACS 2x Leveraged US Size Factor TR ETN","86523763","100","58.36","80.8499","41.91","52.31995","51.415165","84.88109","60.87698","58.36","20.93","21.61","3.25",""
"SOXL","Direxion Daily Semiconductor Bull 3X Shares","22344011","100","58.349","77.2382","46.282","51.52698","23.977785","0","52.07409","58.349","32.03","33.55","4.75",""
"UBR","ProShares Ultra MSCI Brazil Capped","1421819525","61.8","58.144","63.7713","59.613","51.04677","90.39276","99.37749","46.46259","58.144","24.12","22.77","-5.6",""
"PILL","Direxion Daily Pharmaceutical & Medical Bull 3X Shares","86702876","98.75","57.829","72.6083","49.78","51.09929","86.18825","100","51.7749","57.829","8.16","8.38","2.7",""
"BITX","2x Bitcoin Strategy ETF","87248276","100","57.671","77.28","49.075","46.65677","28.75101","0","46.1329","57.671","25.17","28.77","14.3",""
"TSL","GraniteShares 1.25x Long Tesla Daily ETF","104993","100","57.29","67.2672","53.942","50.66075","50","63.48092","61.44061","57.29","9.22","9.64","4.56",""
"SVXY","ProShares ShortVIXShort-Term FuturesETF","596388","100","56.534","71.0356","37.206","61.36093","13.40474","0","47.00792","56.534","50.5","51.16","1.31",""
"YINN","Direxion Daily FTSE China Bull 3X Shares","199378631","100","56.496","66.7138","54.469","48.30648","40.2137","11.6867","48.95198","56.496","21.38","24.06","12.54",""
"ERX","Direxion Daily Energy Bull 2X Shares","320642234","61.3","56.245","67.4114","46.84","54.48337","7.201685","1.64895","53.70028","56.245","57.01","60.15","5.51",""
"SVIX","VS TR -1X Short VIX Futures ETF","354235884","100","56.17","69.1308","37.889","61.48904","6.432265","0","53.37886","56.17","27.6","28.31","2.57",""
"DRIP","Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares","167052","-94.1","55.831","67.9231","55.6","43.96945","100","100","51.12825","55.831","12.1","11.14","-7.93",""
"SMHB","ETRACS 2x Monthly Pay Leveraged US Small Cap High Dividend ETN Series B","38379","43.35","55.722","72.8794","48.665","45.62109","49.5249","48.6882","49.70337","55.722","6.24","6.42","2.88",""
"MSOX","Advisor Shares MSOS 2x Daily ETF","3957942","100","55.494","68.2025","52.822","45.4575","23.95926","0","45.90028","55.494","2.14","2.05","-4.21",""
"UBOT","Direxion Daily Robotics, Artificial Intelligence & Automation Index Bull 2X","550992","100","55.275","74.5383","39.376","51.91032","45.48571","17.97113","55.00168","55.275","21.27","22.23","4.51",""
"KORU","Direxion MSCI Daily South Korea Bull 3X Shares","3811791","100","55.059","64.998","52.519","47.661","12.972065","3.57074","45.64145","55.059","6.97","6.81","-2.3",""
"DIG","ProShares Ultra Energy","88261369","60.15","54.767","67.7197","43.352","53.22789","7.41002","1.63242","48.87722","54.767","37","39.07","5.59",""
"ERY","Direxion Daily Energy Bear 2X Shares","39347","-60.55","54.528","62.8879","55.373","45.32249","91.83108","92.28184","48.7991","54.528","25.82","24.47","-5.23",""
"CWEB","Direxion Daily CSI China Internet Index Bull 2x Shares","328382","87","54.469","62.496","54.514","46.39566","38.712925","0.28638","50.3067","54.469","26.12","28.71","9.92",""
"BRZU","Direxion Daily MSCI Brazil Bull 2X Shares","442867","63.4","53.874","63.5999","46.134","51.88766","89.30106","99.16635","46.37291","53.874","73","68.87","-5.66",""
"DUG","ProShares UltraShort Energy","326743","-60.75","53.592","61.917","54.913","43.94481","91.035485","89.93069","51.49625","53.592","10.73","10.17","-5.22",""
"BDCX","ETRACS Quarterly Pay 1.5x Leveraged MarketVector BDC Liquid Index ETN","176408","33.3","53.548","68.6415","34.932","57.07021","16.202065","0","56.62378","53.548","31.76","31.76","0",""
