"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"LEM.V","LEADING EDGE MATERIALS CORP","3377","31.059","58.2443","-74.6","48.548","30.8642","17.213405","36.56381","52.2206",""
"LI.V","AMERICAN LITHIUM CORP","223131","68.434","40.9305","100","50.923","34.88889","100","100","52.29482",""
"LIO.V","LION ONE METALS LIMITED","144433","46.866","49.2953","43.7","34.594","32.88889","68.08893","91.42476","39.98115",""
"LITH.V","LITHIUM CHILE INC","70708","54.044","71.8626","5.7","53.863","35.18931","84.22319","91.14242","52.1045",""
"LME.V","LAURION MINERAL EXPLORATION INC","33812","29.313","66.138","-58.6","51.608","31.77778","35.19523","32.06011","52.59827",""
"LRA.V","LARA EXPLORATION LTD","35335","70.51","91.0509","46.15","58.961","35.73265","98.95155","100","63.77462",""
"LUM.V","LUMINA GOLD CORP","81098","73.147","78.0292","100","59.149","34.16856","93.436275","97.46315","56.34501",""
"LUN.TO","LUNDIN MINING CORP.","34318937","67.195","81.2675","100","51.116","52","69.93744","100","46.10541",""
"MAI.V","MINERA ALAMOS INC","167297","71.712","67.8198","100","58.547","25.55556","100","100","50.05829",""
"MFG.V","MAYFAIR GOLD CORP","127597","67.244","83.536","18.6","68.211","39.49772","100","100","60.86283",""
"MGG.V","MINAURUM GOLD INC.","116895","68.124","82.1906","100","60.253","28.85906","76.90278","86.57305","65.18683",""
"MGI.V","MAGNUM GOLDCORP INC","747","80.751","88.1515","100","72.863","19.6319","100","100","84.61052",""
"MKA.V","MKANGO RESOURCES LTD.","679","48.782","67.987","98.75","50.121","25.11211","40.916975","41.76653","39.57407",""
"MKO.V","MAKO MINING CORP","100941","50.073","86.4897","78.8","59.943","42.72727","50","43.99246","38.56075",""
"MN.V","MANGANESE X ENERGY CORP","4723","43.525","52.0123","49.1","53.441","13.31828","0","0","36.80457",""
"MTA.V","METALLA ROYALTY AND STREAMING L","155237","72.081","59.1602","100","47.443","43.55556","100","100","54.41139",""
"MTT.V","MAGNA TERRA MINERALS INC","2708","-61.665","99.8","-763","84.08","15.08621","16.12903","21.68428","42.9504",""
"NFG.V","NEW FOUND GOLD CORP","898644","49.11","53.6124","100","48.728","43.11111","25.484485","3.81962","45.46895",""
"NG.TO","NOVAGOLD RES INC.","1259470","49.835","55.2445","100","42.731","45.33333","21.878305","0.31691","48.97532",""
"NGC.V","NORTHERN GRAPHITE CORPORATION","10028","51.948","48.1986","100","50.522","32.73543","65.70721","61.48469","39.28293",""
"NGD.TO","NEW GOLD INC.","6003562","65.156","99.7437","100","53.702","44.66667","50","99.48947","58.49289",""
"NKG.V","NEVADA KING GOLD CORP","57919","55.466","69.645","100","58.099","30.58036","50","67.45213","62.48565",""
"NKL.V","NICKEL 28 CAPITAL CORP","22719","53.169","62.6422","-1.55","72.806","35.30752","85.842265","86.83313","44.45798",""
"NOU.V","NOUVEAU MONDE GRAPHITE INC","57073","38.483","38.5171","77.75","47.987","39.55556","50.22776","29.43476","35.6785",""
"OCO.V","OROCO RESOURCE CORP.","29397","42.639","49.5323","38.75","43.395","30.35714","9.832405","16.42433","39.68185",""
"ODV.V","OSISKO DEVELOPMENT CORP","150903","40.719","47.1737","45.95","41.215","40.53452","44.91999","47.80722","52.19135",""
"OGN.V","OROGEN ROYALTIES INC","182870","53.232","99.8","26.6","48.18","38.16964","58.52721","91.08617","51.73501",""
"OIII.V","O3 MINING INC","191345","30.409","55.8418","8.7","33.655","40.75724","50","33.04814","40.86242",""
"OLV.V","OLIVUT RESOURCES LTD.","1455","44.186","85.3266","-2.9","68.563","28.7234","63.59258","62.06363","40.34239",""
"OOR.V","OPUS ONE GOLD CORPORATION","8046","45.591","99.8","-95.95","50.37","11.88119","93.201755","100","66.63031",""
"PGZ.V","PAN GLOBAL RESOURCES INC.","18714","31.88","45.0453","46.65","49.235","31.90476","50","0.0626","50.26332",""
"PLY.V","PLAYFAIR MINING LTD","238","58.786","85.3271","100","76.252","10.67616","70.33159","28.96769","69.61286",""
"PPX.V","PPX MINING CORP","11902","24.499","86.2783","-15.9","44.643","14.97585","50","0","41.49862",""
"RBX.V","ROBEX RESOURCES INC","127927","42.516","68.6122","29.2","36.502","34.50882","0","0.26114","28.52532",""
"RCK.V","ROCK TECH LITHIUM INC","29015","28.468","53.5195","-32.2","37.279","40.22222","56.9483","36.98042","49.57908",""
"REG.V","REGULUS RESOURCES INC","41054","55.898","88.9298","17.3","54.381","41.37931","74.761825","91.60325","48.16875",""
"RG.V","ROMIOS GOLD RESOURCES INC","1207","-112.007","99.8","-1088.65","73.217","11.64384","50","85.44921","34.49008",""
"ROS.V","ROSCAN GOLD CORPORATION","42941","61.385","65.0103","100","62.108","15.86207","62.537485","100","61.64083",""
"ROX.V","CANSTAR RESOURCES INC","1599","28.12","89.4607","-66.75","63.37","12.31231","50","58.37806","40.06714",""
"SALT.V","ATLAS SALT INC","26393","40.983","47.8564","27.35","42.107","36.22222","39.509825","59.19422","53.17397",""
"SCZ.V","SANTACRUZ SILVER MINING LTD","182830","73.527","77.3778","100","65.837","33.56974","91.1849","99.68774","55.84609",""
"SFR.V","SANDFIRE RESOURCES AMERICA INC","1174","51.129","86.4651","36.45","84.034","32.65306","23.03714","18.14789","46.23042",""
"SGML.V","SIGMA LITHIUM CORPORATION","345453","68.809","52.9873","100","43.138","44","95.628865","100","50.27838",""
"SIC.V","SOKOMAN MINERALS CORP","10951","48.949","59.6237","52.4","54.829","11.73815","6.25","30.19371","46.36122",""
"SLI.V","STANDARD LITHIUM LTD","660827","76.445","65.9114","100","55.154","46.22222","100","100","67.83016",""
"SLVR.V","SILVER TIGER METALS INC","105481","71.626","62.1412","100","44.544","34","100","99.7802","60.9192",""
"TECK-B.TO","TECK RESOURCES LIMITED CL B","99959235","70.825","76.666","100","46.981","50.22222","86.61813","95.93632","52.7334",""
"THX.V","THOR EXPLORATIONS LTD.","69107","37.976","67.4021","39.2","36.412","23.82022","50","41.23864","57.75905",""
"TKO.TO","TASEKO MINES LTD.","1345491","72.091","80.2344","100","54.634","46.66667","85.24192","99.0649","53.55167",""
"TMQ.TO","TRILOGY METALS INC","32757","71.073","88.1444","100","65.867","38.07229","81.003955","78.45344","64.96471",""
"TORQ.V","TORQ RESOURCES INC","7381","35.23","49.7546","8.05","41.804","25.70755","57.272285","51.66955","55.07954",""
"TUD.V","TUDOR GOLD CORP","294294","64.826","70.184","100","51.155","37.77778","68.879345","97.6461","59.25967",""
"VVC.V","VVC Exploration Corp.","2209","48.815","71.9278","79.8","82.699","11.51515","46.80851","19.9559","69.42418",""
"VZLA.V","VIZSLA SILVER CORP","3191072","73.287","83.4285","100","63.969","44.88889","85.593575","92.31688","57.22022",""
"WM.TO","WALLBRIDGE MINING COMPANY LTD","67181","38.045","64.032","44.75","33.128","17.55556","55.201335","45.3981","51.04616",""
"WPM.TO","WHEATON PRECIOUS METALS CORP","63973793","64.259","85.7792","42.7","50.98","51.33333","84.063975","98.90435","51.99017",""
"XIM.V","XIMEN MINING CORP","1454","32.351","66.3741","-33.05","55.873","33.23529","62.064545","41.93219","37.96241",""
"XTM.V","TRANSITION METALS CORP","2215","43.062","78.5336","4.5","65.719","28.57143","69.187945","35.22423","50.51243",""
"ZFR.V","ZEPHYR MINERALS LTD","1265","17.276","63.8542","-110.85","15.787","23.39833","0","0.9372","27.80196",""
"ZNX.V","ZINCX RESOURCES CORP","2493","42.91","75.9422","-36.75","51.423","16.40379","95.927515","63.06508","38.43437",""
