[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
JAYAGROGN.NS	-0.322	61.263	39.5	40.5	34.46	5	0.84	24.38	0.96	44.512
JAYSREETEA.NS	0.497	70.761	45.41	34.79	42.58	0	1.98	26.43	0.985	66.611
JBCHEPHARM.NS	0.799	74.265	72.31	68.93	73.14	5	0.74	96.33	1.051	79.944
JINDALPOLY.NS	-1.485	47.78	31.21	27.67	27.57	5	0.35	19.87	0.973	37.643
JINDALSTEL.NS	0.698	73.101	55.55	67.88	58.48	5	0.84	68.11	1.0	59.142
JINDRILL.NS	-0.961	53.858	43.39	37.57	45.17	0	0.42	45.97	0.989	59.844
JKCEMENT.NS	3.509	99.8	52.13	59.79	62.31	5	0.32	59.31	0.997	55.95
JKLAKSHMI.NS	2.165	90.116	52.58	60.54	54.44	5	0.92	27.47	0.982	67.92
JKPAPER.NS	-0.088	63.985	48.4	32.15	46.34	0	1.49	24.79	0.97	70.523
JKTYRE.NS	-1.449	48.187	40.5	29.82	39.66	0	0.79	23.14	0.987	66.919
JMFINANCIL.NS	3.482	99.8	45.19	60.41	55.54	0	1.93	28.94	0.959	61.726
JOCIL.NS	0.152	66.758	35.6	40.54	38.32	5	0.93	18.69	0.975	30.087
JSWSTEEL.NS	1.471	82.062	48.79	60.96	53.49	5	1.08	44.8	1.003	52.006
JUSTDIAL.NS	-0.792	55.815	29.34	28.81	30.22	5	0.38	27.22	0.99	42.307
KAKATCEM.NS	0.098	66.135	40.35	33.93	33.95	5	1.53	30.12	0.946	36.99
KANORICHEM.NS	-0.555	58.56	43.39	34.37	35.14	0	0.66	38.77	0.996	60.223
KEC.NS	-0.098	63.864	33.39	31.26	40.84	5	1.15	33.74	0.998	37.411
KEI.NS	1.459	81.924	51.58	56.48	54.62	5	0.53	60.35	0.998	54.232
KESORAMIND.NS	0.534	71.195	39.02	34.06	34.16	0	-0.85	40.66	0.96	34.896
KICL.NS	-0.37	60.707	29.24	23.6	31.2	5	0.83	19.42	0.986	39.005
KIRIINDUS.NS	-1.439	48.313	36.45	33.63	35.77	5	1.48	34.74	0.976	58.84
KIRLOSBROS.NS	1.497	82.364	40.33	33.59	40.14	5	1.6	22.35	0.968	57.781
KIRLOSENG.NS	1.87	86.688	56.94	49.95	56.62	5	0.68	58.57	1.004	69.968
KIRLOSIND.NS	1.936	87.462	56.35	56.71	51.93	5	2.2	50.1	0.99	67.783
KITEX.NS	-1.503	47.567	35.76	25.3	32.32	5	1.77	15.56	0.942	51.817
KNRCON.NS	-0.436	59.939	36.15	25.55	28.36	5	1.2	19.12	0.968	49.335
KOHINOOR.NS	-2.55	35.415	31.41	22.74	29.94	0	0.35	15.88	0.978	54.232
KPRMILL.NS	0.124	66.443	38.34	42.2	42.73	5	0.6	31.91	0.96	34.376
KSB.NS	0.58	71.729	42.03	61.63	55.17	5	0.13	49.97	0.987	47.125
KSCL.NS	-3.99	30.2	35.34	23.11	32.46	5	0.44	34.09	0.996	56.535
KSL.NS	1.898	87.02	53.66	46.48	50.72	5	1.53	35.92	0.996	74.032
KTKBANK.NS	-0.825	55.428	23.06	16.95	24.12	0	0.82	12.06	0.98	45.591
LAURUSLABS.NS	6.062	99.8	75.94	93.51	82.7	5	0.35	86.19	1.066	71.692
LGBBROSLTD.NS	-0.361	60.807	38.86	46.88	42.67	5	0.35	25.09	0.991	52.246
LICHSGFIN.NS	0.14	66.628	45.57	42.92	43.18	5	1.11	31.39	0.983	67.999
LINCOLN.NS	-0.255	62.039	32.05	36.35	30.39	5	0.46	27.59	0.994	57.557
LINDEINDIA.NS	-1.802	44.1	40.03	40.66	44.06	5	-0.13	34.25	1.002	64.302
LOVABLE.NS	-0.982	53.606	38.11	32.76	33.07	5	0.64	21.78	0.984	49.974
LT.NS	-0.782	55.934	46.91	42.68	42.63	5	1.05	43.39	1.009	69.34
LUXIND.NS	-1.895	43.018	32.48	19.47	29.21	5	0.89	17.52	0.979	57.01
MAANALU.NS	0.229	67.662	40.75	42.58	45.14	5	-1.07	43.9	0.995	41.046
