"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"CHENNPETRO.NS","Chennai Petroleum Corp Ltd","6617837","100","73.39","89.2698","77.498","53.40232","50","39.60808","63.08532","73.39","985","919.95","-6.6",""
"GODREJAGRO.NS","GODREJ AGROVET LTD","39337900","34.05","73.382","98.1919","73.94","48.01478","52.139355","100","74.90921","73.382","798.45","779.6","-2.36",""
"GSPL.NS","Gujarat State Petronet Limited","782612541","38.75","73.237","85.7155","80.67","53.32446","100","100","80.41633","73.237","419.95","446.4","6.3",""
"MRO-TEK.NS","MRO-TEK realty Ltd","50857459","4.9","73.212","93.7839","82.052","43.80005","93.815115","94.93057","83.40853","73.212","111.42","112.45","0.92",""
"HERITGFOOD.NS","Heritage Foods Limited","565407394","22.9","73.192","99.8","68.569","51.2067","50","92.3583","69.21833","73.192","563.95","559.55","-0.78",""
"GULFOILLUB.NS","GULF OIL LUBRICANT","3014819310","68.25","73.181","99.8","67.876","51.86795","63.91918","99.80784","69.41922","73.181","1425","1389.9","-2.46",""
"PRIMESECU.NS","Prime Securities Ltd","247052242","41.45","73.109","99.0915","63.523","56.71348","74.50081","100","73.17138","73.109","295.25","299.75","1.52",""
"MANGLMCEM.NS","Mangalam Cement Limited","1196573997","62","73.047","99.8","65.831","53.50973","87.00223","98.76335","66.79728","73.047","1034.45","996.4","-3.68",""
"GANESHHOUC.NS","Ganesh Housing Corp Ltd","122428498","30.05","73.025","94.435","78.041","46.59966","46.32717","8.79776","54.67017","73.025","839","803","-4.29",""
"DEEPAKFERT.NS","DEEPAK FERTILISERS","280234878","54.1","73.022","94.694","73.092","51.27963","100","100","72.32836","73.022","1047","1050.95","0.38",""
"LUXIND.NS","Lux Industries Limited","319352362","-32.8","73.004","96.145","75.114","47.75265","100","100","75.33794","73.004","2395.9","2302.65","-3.89",""
