"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"CGCL.NS","CAPRI GLOBAL CAPIT","183498715","51.44","59.9393","14.25","76.398","42.88889","0.83158","8.2777","59.98937",""
"CHAMBLFERT.NS","Chambal Fertilisers & Chemicals Ltd","1386074314","54.292","82.8469","49.85","65.068","53.11111","23.61636","18.06182","58.33654",""
"CHENNPETRO.NS","Chennai Petroleum Corp Ltd","958144771","63.762","94.0918","56.75","77.26","53.11111","0","0.00928","65.10986",""
"CHOLAFIN.NS","Cholamandalam Investment and Finance Company Limited","2169860452","52.85","99.8","61.3","57.937","51.55556","39.366615","32.0901","46.00178",""
"CHOLAHLDNG.NS","Cholamandalam Financial Holdings Limited","453811666","58.828","99.8","42.5","73.887","50","50","81.7459","63.86299",""
"CIPLA.NS","CIPLA LTD","3327385596","44.164","90.2018","9.65","50.348","50.88889","39.30063","32.36388","54.29367",""
"COALINDIA.NS","Coal India Limited","3966232543","56.28","93.8403","50.15","52.238","52.66667","4.943275","1.25056","53.69759",""
"COCHINSHIP.NS","Cochin Shipyard Limited","1599953504","59.109","99.8","75.4","79.348","50.44444","23.7001","0","56.16899",""
"CONSOFINVT.NS","Consolidated Finvest & Holdings Limited","3392624","47.065","85.8968","46.8","57.15","46.66667","40.32094","13.43013","60.15342",""
"CONTROLPR.NS","Control Print Limited","31183519","47.317","92.853","16.35","58.173","49.77778","21.42072","7.87749","49.02882",""
"COROMANDEL.NS","Coromandel International Limited","601516992","51.468","99.5076","32.65","57.298","56","27.56991","17.24855","52.71124",""
"CREST.NS","Crest Ventures Ltd","106093363","69.742","99.8","100","72.992","46.88889","50","96.45066","72.06378",""
"CUB.NS","City Union Bank Ltd","1000180602","47.509","69.8592","2.4","48.164","50.44444","28.20376","49.90008","68.20523",""
"CUMMINSIND.NS","Cummins India Limited","1910424264","58.909","99.8","75.1","47.952","57.11111","11.63413","6.65465","49.01245",""
"CYBERTECH.NS","Cybertech Systems & Software Ltd","19083903","65.677","87.887","69.7","86.564","43.11111","50","86.4939","85.98544",""
"CYIENT.NS","Cyient Limited","626831552","46.571","99.8","30.75","63.896","52","39.924585","4.79817","54.60076",""
"DALMIASUG.NS","Dalmia Bharat Sugar and Industries Ltd","160371133","68.001","77.4026","100","63.141","47.77778","61.48195","87.97041","76.75208",""
"DATAMATICS.NS","DATAMATICS GLOBAL","65774463","53.55","89.7812","43.95","78.013","47.77778","27.82119","0.62688","70.34586",""
"DBL.NS","Dilip Buildcon Limited","174298740","59.333","98.0026","60.6","78.929","47.77778","16.262615","0","62.54881",""
"DCMSHRIRAM.NS","DCM Shriram Ltd","168535367","51.254","83.0366","16.3","82.647","50.88889","39.13919","26.05356","78.13163",""
"DECCANCE.NS","Deccan Cements Limited","7299763","46.657","78.1204","32.1","49.614","48","13.41806","0.49923","45.10119",""
"DEEPAKFERT.NS","DEEPAK FERTILISERS","1396991567","61.013","93.3692","36.85","70.385","48.88889","54.91225","97.45995","70.3107",""
