"Symbol","Company Name","Wtd Sortino Score"
"LPIN","Multi Prima Sejahtera Tbk","-12.15920491614"
"SDMU","Sidomulyo Selaras Tbk","-12.31851788517"
"GZCO","Gozco Plantations Tbk","-12.75188049262"
"TAPG","Triputra Agro Persada Tbk PT","-13.37045484095"
"BHIT","Mnc Investama Tbk","-13.5135580731"
"HDFA","Radana Bhaskara Finance Tbk","-13.63511735618"
"INKP","Indah Kiat Pulp & Paper Tbk","-13.88766183956"
"CPIN","Charoen Pokphand Indonesia TBK PT","-14.67069623512"
"BNII","Bank Maybank Indonesia Tbk PT","-15.86098961718"
"DCII","DCI Indonesia Tbk PT","-15.90280157664"
"HERO","Hero Supermarket Tbk","-16.16641790796"
"ITMA","Sumber Energi Andalan Tbk PT","-17.27931655119"
"GTSI","GTS Internasional Tbk PT","-17.90868146647"
"AHAP","Asuransi Harta Aman Pratama Tbk PT","-17.96637476589"
"SMGR","Semen Indonesia Persero Tbk","-18.20940850132"
"INCI","Intanwijaya Internasional Tbk","-18.35423784216"
"MYOH","Samindo Resources Tbk","-18.47800622197"
"BELL","Trisula Textile Industries Tbk PT","-19.13445516276"
"BBTN","Bank Tabungan Negara Persero","-19.48473478544"
"LPCK","Lippo Cikarang Tbk","-19.66765214969"
"JPFA","Japfa Comfeed Indonesia Tbk","-20.09776277736"
"PRAS","Prima Alloy Steel Universal","-20.21768534177"
"UCID","Uni Charm Indonesia PT","-20.68155162455"
"LPKR","Lippo Karawaci Tbk","-20.76416886829"
"AMOR","Ashmore Asset Management Indonesia","-20.82592822618"
"SPMA","Suparma Tbk","-21.04644670583"
"TFAS","Telefast Indonesia ","-21.26471950804"
"SQMI","Wilton Makmur Indonesia Tbk","-21.87892553336"
"ASJT","Asuransi Jasa Tania Tbk","-21.87949136253"
"LMPI","Langgeng Makmur Industri Tbk","-22.04505121185"
"BOGA","Bintang Oto Global Tbk PT","-22.37831873456"
"CMNT","Cemindo Gemilang Tbk PT","-23.32011646262"
"SAME","Sarana Meditama Metropolitan","-23.84244063908"
"AISA","FKS Food Sejahtera Tbk PT","-24.05224308926"
"ISSP","Steel Pipe Industry Of Indonesia","-24.14518828029"
