[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
THD	0	0	47.781	75.349	72.75985447408	0
TIP	0	0	49.798	50.37	72.16774296734	0
TLH	0	0	45.498	66.165	70.45616122278	0
TLT	0	0	55.125	53.333	76.12333692771	0
TOK	0	0	69.555	79.039	98.10781182908	0
TUR	0	0	39.895	54.696	66.03680596788	0
UAE	0	0	38.356	57.034	65.29886430896	0
URTH	0	0	61.811	63.03	91.66869695812	0
USMV	0	0	66.237	86.928	86.99093697369	0
USRT	0	0	52.334	79.496	76.20769526393	0
UTLF	0	0	42.399	28.186	66.09974095743	0
VEGI	0	0	58.275	54.68	78.51793961255	0
VLUE	0	0	46.367	67.127	71.10162980277	0
WOOD	0	0	59.66	51.689	79.37111152611	0
WPS	0	0	72.014	54.938	98.40047124867	0
XT	0	0	65.793	51.894	93.7874602505	0
