[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
600779.SS	-0.737	56.455	50.42	57.35	48.63	0	1.17	59.79	0.996	57.149
600782.SS	2.706	96.393	74.47	81.07	68.47	0	1.25	79.48	1.033	82.423
600783.SS	1.098	77.733	57.71	58.81	52.87	0	1.47	60.31	1.003	58.278
600789.SS	0.393	69.564	53.72	80.46	61.78	5	1.28	77.58	1.018	58.656
600790.SS	0.045	65.524	36.78	38.35	42.73	5	1.46	41.26	0.989	44.732
600794.SS	1.272	79.752	34.49	30.52	41.91	0	1.96	29.05	0.986	41.687
600798.SS	0.501	70.806	34.82	23.3	31.84	0	1.68	27.51	0.979	48.685
600801.SS	2.462	93.558	71.54	83.1	71.53	0	0.75	68.9	0.988	77.776
600808.SS	0.306	68.549	68.61	61.57	57.02	0	1.15	79.97	1.021	76.621
600809.SS	-0.08	64.075	47.25	57.89	46.19	5	0.19	58.51	0.978	54.265
600810.SS	-0.179	62.929	43.48	35.77	38.59	5	1.41	31.82	0.982	45.631
600814.SS	0.043	65.503	43.19	59.98	46.07	0	1.7	56.42	0.99	41.884
600827.SS	2.016	88.381	59.76	74.56	59.8	0	1.63	71.07	1.006	56.066
600828.SS	-0.377	60.623	39.77	63.96	52.49	0	1.73	57.78	0.993	37.38
600829.SS	1.196	78.87	81.46	77.7	68.6	5	1.21	71.21	1.06	100.0
600833.SS	-0.994	53.472	64.76	77.58	65.88	0	1.38	81.19	1.022	65.24
600835.SS	5.099	99.8	55.05	90.88	71.3	5	1.23	81.3	1.076	27.59
600838.SS	1.182	78.709	55.3	84.4	65.26	0	1.62	79.39	1.02	45.703
600841.SS	1.622	83.812	60.5	65.0	55.94	0	2.53	65.01	1.01	48.008
600846.SS	1.226	79.222	42.58	49.13	50.87	0	1.19	27.87	0.959	53.049
600850.SS	2.78	97.243	58.03	59.85	57.29	5	1.37	61.34	0.999	59.896
600851.SS	0.986	76.434	58.23	63.08	61.1	0	1.26	61.88	1.002	60.501
600864.SS	4.564	99.8	69.23	84.55	69.27	5	1.41	67.84	1.011	68.96
600872.SS	0.736	73.539	48.05	54.24	45.71	0	1.52	59.57	0.993	50.443
600873.SS	1.986	88.037	59.37	77.2	68.84	0	0.33	71.06	1.004	65.004
600874.SS	4.236	99.8	54.42	48.66	46.46	0	1.28	60.57	0.994	56.662
