"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"601369.SS","Xi'an Shaangu Power Co., Ltd","107506816","66.256","58.0634","51.05","49.643","45.87973","100","99.47528","59.68318",""
"601377.SS","China Industrial Securities Co.,Ltd","814042893","73.704","78.6154","72.75","55.638","43.87528","100","100","65.05212",""
"601577.SS","Bank of Changsha Co., Ltd","246950913","69.275","81.8197","46.15","58.953","45.4343","100","92.3721","60.19412",""
"601598.SS","Sinotrans Limited","232123486","64.714","81.2445","42.75","58.899","48.1069","86.54618","97.71437","51.19132",""
"601601.SS","China Pacific Insurance (Group) Co., Ltd","1662405997","74.05","88.1462","68.45","57.756","45.87973","100","100","58.11531",""
"601615.SS","Ming Yang Smart Energy Group Limited","481624970","67.589","44.3714","65.95","57.697","44.32071","100","94.93265","65.85407",""
"601618.SS","Metallurgical Corporation of China Ltd","493963507","67.209","72.3589","65.85","59.061","45.21158","89.68172","85.97676","62.64012",""
"601636.SS","Zhuzhou Kibing Group Co Ltd","422119456","60.567","45.9533","66.4","53.046","43.87528","86.887665","85.51948","55.39849",""
"601658.SS","Postal Savings Bank of China Co., Ltd","1009742235","65.462","74.2828","29.85","56.375","45.21158","97.985715","97.39862","59.14186",""
"601677.SS","Henan Mingtai Al.Industrial Co., Ltd","366730094","67.506","57.5739","61","54.175","43.65256","100","100","56.13714",""
"601699.SS","Shanxi Lu'an Environmental Energy Development Co Ltd","419674725","57.159","65.6735","57.3","53.444","48.77506","68.0874","87.39452","51.354",""
"601717.SS","Zhengzhou Coal Mining Machinery Group Company Limited","464341813","61.177","74.1895","52.75","48.754","46.32517","82.013935","94.11265","48.07872",""
"601727.SS","Shanghai Electric Group Company Limited","2665267345","76.785","99.8","42.25","71.612","44.54343","100","100","79.29257",""
"601799.SS","CHANGZHOU XINGYU AUTOMOTIVE LIG","276567611","68.526","71.446","52.55","53.912","46.10245","100","100","55.66843",""
"601808.SS","China Oilfield Services Limited","147564037","55.954","64.9662","58.2","53.781","46.99332","67.438585","83.95881","48.89847",""
"601838.SS","BANK OF CHENGDU CO LTD","534030873","63.632","69.7325","36.7","56.624","44.98886","95.292235","93.85","52.94288",""
"601860.SS","Jiangsu Zijin Rural Commercial Bank Co.,Ltd","218542164","71.425","73.1649","59.9","64.017","40.97996","100","98.04557","63.86864",""
"601877.SS","Zhejiang Chint Electrics Co., Ltd","414929581","67.648","57.4761","52.8","58.479","45.87973","100","99.84556","59.05224",""
"601888.SS","CHINA TOURISM GROUP DUTY FREE C","2045777926","63.799","30.2","83","56.72","38.9755","95.7544","87.69832","58.48857",""
"601898.SS","China Coal Energy Company Limited","396454112","56.622","84.8522","36.45","61.284","48.21429","58.124965","91.23498","58.06771",""
"601899.SS","Zijin Mining Group Company Limited","3443135091","62.205","92.1418","27.5","52.69","49.66592","80.012485","97.04714","56.36734",""
"601908.SS","Beijing Jingyuntong Technology Co., Ltd","134961050","66.889","44.3605","75.55","52.972","42.09354","100","96.63153","56.61646",""
"601919.SS","COSCO SHIPPING Holdings Co., Ltd","1754425693","68.118","79.5328","47.75","55.049","49.22049","97.35251","99.81478","50.75518",""
"601939.SS","China Construction Bank Corporation","1251273851","62.619","85.2857","22.85","57.154","51.22494","86.73415","94.61954","53.73339",""
"601952.SS","Jiangsu Provincial Agricultural Reclamation and Development Co.,Ltd","163544525","59.006","61.1483","42.3","49.677","48.77506","76.216565","99.13656","59.56908",""
"601965.SS","China Automotive Engineering Research Institute Co., Ltd","132812224","67.871","70.6281","46.6","57.151","45.21158","100","99.11591","56.38952",""
"601966.SS","Shandong Linglong Tyre Co., Ltd","400178565","68.055","69.0333","51.4","50.656","47.21604","100","98.72495","59.35352",""
"601968.SS","Shanghai Baosteel Packaging Co., Ltd","49729747","67.458","62.0156","52.9","49.165","44.98886","100","98.55809","64.57586",""
"601985.SS","China National Nuclear Power Co., Ltd","1598262568","44.656","94.3369","34.4","56.142","52.56125","38.637575","1.84467","50.58488",""
"603008.SS","Xilinmen Furniture Co.,Ltd","126804634","67.083","54.6543","57.45","58.205","42.98441","100","98.34046","57.94371",""
"603010.SS","Zhejiang Wansheng Co., Ltd","63929683","64.729","61.7064","43.25","52.428","41.64811","100","97.71128","56.35884",""
"603041.SS","Jiangsu Maysta Chemical Co., Ltd","19229455","67.452","66.7921","54.55","49.459","51.22494","100","93.72286","56.41564",""
"603043.SS","Guangzhou Restaurant Group Company Limited","62912133","62.024","49.5104","58","51.643","40.53452","95.09214","84.41346","59.88097",""
"603063.SS","Shenzhen Hopewind Electric Co., Ltd","339342613","68.672","59.5639","68.5","62.303","42.31626","94.70199","87.88304","70.73195",""
