"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"600760.SS","AVIC SHENYANG AIRCRAFT CO LTD","369150691","42.7","57.866","64.6725","62.776","46.14996","58.816905","95.90087","56.95442","57.866","40.5","40","-1.23",""
"600163.SS","Zhongmin Energy Co., Ltd","46926648","53.25","57.792","67.3021","61.66","44.41277","72.49471","98.81386","59.6547","57.792","5.45","4.99","-8.44",""
"600098.SS","Guangzhou Development Group Incorporated","72851520","65.4","57.779","69.2041","58.287","45.84707","0","2.42876","43.26579","57.779","6.13","6.16","0.49",""
"601598.SS","Sinotrans Limited","52542204","83.75","57.606","65.6903","60.947","46.17966","0","0","44.66114","57.606","4.55","4.61","1.32",""
"603298.SS","Hangcha Group Co., Ltd","79737242","100","57.378","69.6499","53.806","48.67904","0","0","47.96138","57.378","16.15","16.54","2.41",""
"603607.SS","Zhejiang Jinghua Laser Technology Co.,Ltd","36072108","100","57.364","65.0622","60.343","46.68646","31.133785","19.89505","46.2277","57.364","12.43","12.49","0.48",""
"601577.SS","Bank of Changsha Co., Ltd","52818182","31.85","57.251","67.7587","59.032","44.96115","0","0","55.69425","57.251","7.45","7.67","2.95",""
"600710.SS","Sumec Corporation Limited","139384871","78.95","57.142","71.4548","57.01","42.96065","20.143815","0","49.7415","57.142","7.88","7.72","-2.03",""
"600737.SS","COFCO Tunhe Sugar Co Ltd","4591161072","80.4","57.038","68.8693","55.49","46.75476","0","0","52.18126","57.038","8.6","8.51","-1.05",""
"600829.SS","HPGC Renmintongtai Pharmaceutical Corporation","685253626","82.1","56.949","59.077","61.445","50.32517","48.69879","1.38943","47.44816","56.949","5.67","5.65","-0.35",""
"600764.SS","China Marine Information Electronics Company Limited","191799851","100","56.931","59.4872","63.235","48.07226","26.49396","12.6974","51.04089","56.931","19.29","19.26","-0.16",""
"600598.SS","Heilongjiang Agriculture Co Ltd","208627358","46.9","56.82","66.8075","57.041","46.61123","60.011325","47.69482","61.72421","56.82","13.36","13.24","-0.9",""
"600469.SS","Aeolus Tyre Co., Ltd","186958754","100","56.811","65.4677","58.052","46.91413","27.44809","9.93796","49.46935","56.811","5.4","5.3","-1.85",""
"600188.SS","Yanzhou Coal Mining Company Limited","10382634","100","56.798","60.4376","61.327","48.63054","0","0","51.94964","56.798","14.16","14.57","2.9",""
"603299.SS","Jiang Su Suyan Jingshen Co.,Ltd","315294269","60.75","56.657","65.4988","57.461","47.01114","41.470145","12.34175","58.7726","56.657","9.44","9.35","-0.95",""
"601018.SS","Ningbo Zhoushan Port Company Limited","121464126","23.6","56.644","69.058","56.9","43.97426","59.78714","70.93613","61.95104","56.644","3.53","3.63","2.83",""
"600125.SS","China Railway Tielong Container Logistics Co Ltd","395188529","82.5","56.474","67.9717","52.086","49.36402","48.01535","7.78406","58.94457","56.474","6.07","5.94","-2.14",""
"603693.SS","Jiangsu New Energy Development Co., Ltd","296479166","75.35","56.331","60.2745","64.275","44.44246","36.89713","0","57.4632","56.331","10.93","10.67","-2.38",""
"600985.SS","Huaibei Mining Holdings Co.,Ltd","45519659","86.7","56.303","66.1225","57.134","45.65207","0","0","44.74169","56.303","14.46","14.29","-1.18",""
"600031.SS","Sany Heavy Industry Co., Ltd","271856051","54.35","56.275","65.9144","60.753","42.15689","35.684695","4.80928","57.92511","56.275","15.4","15.29","-0.71",""
"601860.SS","Jiangsu Zijin Rural Commercial Bank Co.,Ltd","1345864641","39.75","56.258","63.1102","66.046","39.61693","41.15145","0","54.23521","56.258","2.51","2.53","0.8",""
"603501.SS","WILL SEMICONDUCTOR CO LTD SHANG","885969886","57.35","56.25","66.0109","54.172","48.5662","88.00933","54.20808","55.7172","56.25","92.03","91.45","-0.63",""
"600097.SS","Shanghai Kaichuang Marine International Co., Ltd","252465077","84.1","56.201","61.1626","57.303","50.13709","27.008155","0","46.13338","56.201","8.02","7.83","-2.37",""
"603319.SS","Hunan Oil Pump Co., Ltd","313811473","96.5","56.129","64.2361","59.598","44.55234","7.03597","0","50.61196","56.129","14.85","14.77","-0.54",""
