"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"HPF.BK","HEMARAJ INDUSTRIAL PROPERTY AND LEASEHOLD FUND","40199241","7.25","61.349","72.8252","85.015","26.20747","85.07926","95.92235","48.67673","61.349","4.94","4.94","0",""
"PLANET.BK","PLANET COMMUNICATIONS ASIA PCL","163118","16.4","61.33","76.8663","72.953","34.17034","100","100","80.25978","61.33","1.08","1.08","0",""
"LUXF.BK","LUXURY REAL ESTATE INVESTMENT FUND","151792","24.95","61.316","76.0633","74.576","33.30811","100","100","67.0849","61.316","8","8.05","0.63",""
"TFMAMA.BK","THAI PRESIDENT FOODS PCL","13016","6.15","61.232","66.5245","80.012","37.15875","64.599545","59.72702","48.99255","61.232","205","205","0",""
"SAMART.BK","SAMART CORPORATION PCL","21925448","27.6","61.145","83.4353","57.186","42.81257","98.10779","100","60.71016","61.145","7.25","7.2","-0.69",""
"WHAUP.BK","WHA Utilities and Power PCL","576812","6.45","61.136","83.3382","57.201","42.86876","100","99.16334","66.73259","61.136","4.64","4.92","6.03",""
"CHOW.BK","Chow Steel Industries PCL","12037929","-16.35","60.916","75.5598","68.219","38.96999","85.708565","79.92517","53.7951","60.916","2.6","2.54","-2.31",""
"TPOLY.BK","Thai Polycons PCL","31400","49.1","60.901","71.364","76.644","34.6953","67.68742","39.1125","71.86497","60.901","1.03","1.04","0.97",""
"GREEN.BK","Green Resources PCL","1853783","-4.55","60.858","73.9499","70.143","38.48242","58.18359","64.43861","56.46358","60.858","1.1","1.1","0",""
"F&D.BK","FOOD AND DRINKS PCL","2263225","17.15","60.622","81.4294","59.845","40.59029","92.455305","100","61.37854","60.622","42.75","43","0.58",""
"NFC.BK","NFC PCL","1639228","13.35","60.62","60.7824","85.477","35.59974","100","98.2409","73.67663","60.62","2.24","2.2","-1.79",""
"AMARIN.BK","Amarin Printing And Publishing PCL","23550699","5.95","60.603","52.5007","94.453","34.85575","50","19.05783","33.12902","60.603","3.82","3.9","2.09",""
"SAAM.BK","SAAM DEVELOPMENT PCL","5502326","-11.4","60.528","77.4512","64.23","39.9036","50","88.79151","65.01106","60.528","8.35","8.7","4.19",""
"FPT.BK","FRASERS PROPERTY (THAILAND) PCL","484397578","-27.1","60.524","59.4674","87.512","34.59345","33.22006","1.42548","19.68348","60.524","13.5","13.2","-2.22",""
"CPF.BK","Charoen Pokphand Foods PCL","662534","-3.15","60.506","84.4176","57.634","39.4662","70.88831","97.96109","51.50928","60.506","24.8","25","0.81",""
