[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
BUI.BK	-0.481	59.42	59.66	40.96	44.17	0	0.66	70.18	1.007	62.985
BWG.BK	-1.633	46.056	33.31	23.25	23.26	0	0.98	31.69	0.982	50.0
BYD.BK	1.083	77.566	52.7	59.46	50.84	5	1.29	67.37	1.004	60.526
CAZ.BK	3.244	99.8	46.49	44.74	48.69	5	1.09	34.86	0.965	64.076
CBG.BK	-0.273	61.838	56.18	77.32	62.34	0	1.05	57.99	0.999	70.942
CCET.BK	1.59	83.445	67.61	70.98	62.59	0	1.15	73.03	1.037	74.664
CCP.BK	-0.782	55.932	26.25	31.39	26.52	0	0.9	32.37	0.939	16.886
CEN.BK	-0.99	53.516	43.01	41.89	37.96	0	0.66	44.79	0.999	52.404
CENTEL.BK	3.27	99.8	64.82	75.72	62.73	0	0.98	69.56	1.02	69.606
CEYE.BK	-0.258	62.011	43.95	45.21	45.8	5	-0.41	30.98	1.004	66.216
CFRESH.BK	0.602	71.986	65.09	79.08	58.81	0	0.43	79.49	1.05	67.544
CGD.BK	-1.435	48.355	38.11	26.75	28.13	0	0.81	26.06	0.96	50.0
CGH.BK	1.015	76.776	56.47	52.14	49.85	0	0.87	70.77	1.013	39.858
CHAYO.BK	-1.282	50.129	66.69	50.54	52.12	5	1.68	66.09	1.018	85.399
CHEWA.BK	-8.004	30.2	31.96	35.85	30.03	0	0.39	34.93	0.96	12.083
CHG.BK	2.139	89.81	64.61	64.49	61.08	0	1.38	71.23	1.014	70.892
CHO.BK	-0.493	59.283	59.78	25.25	37.67	0	0.84	61.52	1.161	87.5
CHOW.BK	2.872	98.318	44.21	45.88	39.89	0	1.42	51.04	0.921	37.578
CI.BK	-0.537	58.771	61.69	36.68	44.52	0	0.92	80.75	1.069	92.949
CIG.BK	-0.283	61.72	25.07	25.09	19.79	0	1.18	24.18	0.8	12.75
CIVIL.BK	-3.653	30.2	38.38	16.3	25.14	5	0.37	33.73	1.0	47.185
CM.BK	1.723	84.987	65.84	60.94	58.95	0	0.38	87.01	1.035	64.169
CMAN.BK	-0.783	55.92	35.92	35.09	35.61	5	0.05	37.53	0.994	45.26
CMC.BK	-0.934	54.168	51.3	45.75	42.38	5	-0.13	64.56	1.024	69.444
CMO.BK	-0.77	56.073	48.56	49.38	44.43	0	0.99	48.56	1.0	64.858
CMR.BK	4.296	99.8	58.54	63.34	53.5	0	0.22	63.34	1.019	45.748
CNT.BK	-0.063	64.265	52.74	55.69	50.03	0	0.83	59.43	0.992	66.955
