"Symbol","Company Name","ADTValue","AggregateScore","Sortino","Beta","BullishVolume","PriceUp","TDI","TII","MFI"
"BAFS.BK","BANGKOK AVIATION FUEL SERVICES PCL.","9421583","38.083","36.7988","14.05","46.635","34.78261","51.896205","83.87265","46.6483",""
"BAM.BK","BANGKOK COMMERCIAL ASSET MANAGEMENT PCL","186982237","43.263","36.8516","46","41.834","33.87097","57.021755","81.2753","48.96402",""
"BANPU.BK","Banpu PCL","695704052","58.066","39.3472","100","37.168","37.5","69.122325","95.87497","58.32503",""
"BAY.BK","Bank Of Ayudhya PCL","9572901","37.693","49.6047","-4.5","53.531","29.15601","50","72.96958","63.08952",""
"BBGI.BK","BBGI PCL","21955269","38.429","64.7819","12.25","48.474","39.63134","45.93114","43.04275","52.68236",""
"BBIK.BK","BLUEBIK GROUP PCL","39940522","53.193","55.1862","45.35","48.346","42.20183","55.05057","100","71.16278",""
"BBL.BK","Bangkok Bank PCL","1046945952","47.06","63.5642","0.85","48.284","42.23919","59.165465","95.69558","60.45874",""
"BC.BK","BOUTIQUE CORPORATION PCL","708986","58.485","60.3765","-12.15","68.195","34.64203","89.6063","100","79.12133",""
"BCH.BK","BANGKOK CHAIN HOSPITAL PCL","231313097","54.159","54.8065","8.5","43.483","40.19851","93.836365","97.09233","47.36187",""
"BCP.BK","BANGCHAK CORPORATION PCL","245003606","37.211","71.0292","19.5","51.116","40.15345","50","35.8725","42.80461",""
"BCPG.BK","BCPG PCL","48669376","49.454","45.2555","56.5","44.443","34.89461","56.859415","90.1663","61.20131",""
"BCT.BK","BIRLA CARBON (THAILAND) PCL","165893","52.271","72.5786","11.25","93.069","44.11765","43.538865","50.9582","81.00003",""
"BDMS.BK","Bangkok Dusit Medical Services PCL","1139112602","40.903","58.3502","17.85","50.107","32.47423","50","71.71916","55.81777",""
"BE8.BK","BERYL 8 PLUS PCL","31411099","46.042","37.5918","30.85","41.1","40.09217","63.1059","87.87871","58.57013",""
"BEAUTY.BK","Beauty Community PCL","4488851","53.458","50.1457","31.35","64.168","34.84487","68.28553","94.75757","62.3703",""
"BEC.BK","BEC_BEC WORLD","5064796","42.467","36.0987","0.45","48.192","38.52041","60.760105","95.84875","56.63958",""
"BEM.BK","Bangkok Expressway and Metro PCL","215247112","44.692","54.452","12.6","43.942","39.38619","66.356745","84.11436","45.63655",""
"BEYOND.BK","BOUND AND BEYOND PCL","444540","54.951","52.5962","52.85","51.287","34.09669","80.989085","96.54864","35.29855",""
"BGC.BK","BG CONTAINER GLASS PCL","3442921","57.96","48.713","3.35","54.851","29.86111","100","100","68.9463",""
"BGRIM.BK","B.GRIMM POWER PCL","425180231","49.701","42.8483","33.1","43.471","39.67136","79.290885","84.59541","45.63738",""
"BGT.BK","BGT CORPORATION PCL","85370","40.883","46.037","6.2","72.67","33.33333","50.758015","69.51996","56.90811",""
"BH.BK","Bumrungrad Hospital PCL","824125054","50.899","70.0886","13.85","60.551","41.77215","71.827305","85.86735","40.50636",""
"BIG.BK","BIG CAMERA CORPORATION PCL","403062","45.691","48.0784","-8.3","56.738","30.63291","68.190765","93.4475","62.8605",""
"BIOTEC.BK","BIO GREEN ENERGY TECH PCL","2108821","64.443","48.2042","63.9","71.215","27.20588","81.510785","99.90987","77.64702",""
"BIS.BK","Bioscience Animal Health PCL","1011550","50.243","38.2607","12.7","51.838","37.24138","77.39108","100","56.87955",""
"BIZ.BK","Business Alignment PCL","452928","55.825","57.6215","14.15","50.136","36.15023","89.562035","95.53895","58.05355",""
"BJC.BK","Berli Jucker PCL","143073653","47.553","52.2175","21.4","36.29","38.48101","63.313545","99.47486","58.38",""
"BJCHI.BK","BJC Heavy Industries PCL","635858","40.672","54.4811","14.55","39.571","35.64593","5.60648","0.53421","51.13492",""
"BKD.BK","Bangkok Dec-Con PCL","144737","48.735","49.0077","28.9","54.189","31.41487","69.95527","98.89205","38.82767",""
"BKKCP.BK","BANGKOK COMMERCIAL PROPERTY FUND","20475","36.446","54.4833","7.2","36.114","24.01216","54.370335","100","24.56917",""
"BLA.BK","Bangkok Life Assurance PCL","77727751","65.935","62.6512","36.55","58.02","39.7561","100","100","64.57043",""
"BLAND.BK","Bangkok Land PCL","4000006","35.446","42.4078","7.85","25.976","26.34271","50","88.468","57.07714",""
"BM.BK","BANGKOK SHEET METAL PCL","3600170","46.899","51.834","-1.4","57.84","37.14953","57.61928","100","67.63233",""
"BOFFICE.BK","BHIRAJ OFFICE LEASEHOLD REIT","2216861","50.237","30.2","7.4","38.925","27.33645","91.992575","100","63.81086",""
"BOL.BK","Business Online PCL","2285154","37.451","42.1131","10.75","47.461","33.58974","8.021245","1.143","43.14234",""
"BPP.BK","Banpu Power PCL","6583478","37.065","45.5136","12.55","46.429","37.85047","50","68.91877","48.19297",""
"BR.BK","Bangkok Ranch PCL","2033287","25.087","47.325","27.65","31.79","29.39698","45.881675","0","31.21148",""
"BRI.BK","BRITANIA PCL","5579382","37.957","30.2","36.8","45.434","35.25346","50","71.18722","46.82398",""
"BROCK.BK","Baan Rock Garden PCL","12961","29.508","64.8306","10.55","58.135","40.32258","45.596325","2.54213","21.36672",""
"BRR.BK","Buriram Sugar PCL","1913885","47.912","47.9999","13.3","53.44","36.66667","72.107165","78.3766","61.38561",""
