[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
CLOUT-USD	0	0	0	0	0	0
CLR-USD	0	0	0	0	0	0
CLUB-USD	0	0	0	0	0	0
CLUD-USD	0	0	0	0	0	0
CLV-USD	0	0	0	0	0	0
CMC-USD	0	0	0	0	0	0
CMP-USD	0	0	0	0	0	0
CMPCO-USD	0	0	0	0	0	0
CMS-USD	0	0	0	0	0	0
CMT-USD	0	0	0	0	0	0
CNBC-USD	0	0	0	0	0	0
CNC-USD	0	0	0	0	0	0
CND-USD	0	0	0	0	0	0
CNL-USD	0	0	0	0	0	0
CNMT-USD	0	0	0	0	0	0
CNO-USD	0	0	0	0	0	0
CNT-USD	0	0	0	0	0	0
CNX-USD	0	0	0	0	0	0
COB-USD	0	0	0	0	0	0
COC-USD	0	0	0	0	0	0
COE-USD	0	0	0	0	0	0
COFI-USD	0	0	0	0	0	0
COIN-USD	0	0	0	0	0	0
COLX-USD	0	0	0	0	0	0
COMM-USD	0	0	0	0	0	0
CON-USD	0	0	0	0	0	0
COOL-USD	0	0	0	0	0	0
COR-USD	0	0	0	0	0	0
CORAL-USD	0	0	0	0	0	0
CORE-USD	0	0	0	0	0	0
COSS-USD	0	0	0	0	0	0
COV-USD	0	0	0	0	0	0
COVAL-USD	0	0	0	0	0	0
COX-USD	0	0	0	0	0	0
CPAY-USD	0	0	0	0	0	0
CPC-USD	0	0	0	0	0	0
CQST-USD	0	0	0	0	0	0
CRAB-USD	0	0	0	0	0	0
CRACK-USD	0	0	0	0	0	0
CRAFT-USD	0	0	0	0	0	0
CRAIG-USD	0	0	0	0	0	0
CRAVE-USD	0	0	0	0	0	0
CRB-USD	0	0	0	0	0	0
CRC-USD	0	0	0	0	0	0
CRDS-USD	0	0	0	0	0	0
CRE-USD	0	0	0	0	0	0
CREA-USD	0	0	0	0	0	0
CREDO-USD	0	0	0	0	0	0
CREVA-USD	0	0	0	0	0	0
CRM-USD	0	0	0	0	0	0
CRNK-USD	0	0	0	0	0	0
CRPS-USD	0	0	0	0	0	0
CRTM-USD	0	0	0	0	0	0
CRW-USD	0	0	0	0	0	0
CRX-USD	0	0	0	0	0	0
CRYPT-USD	0	0	0	0	0	0
CS-USD	0	0	0	0	0	0
CSC-USD	0	0	0	0	0	0
CSH-USD	0	0	0	0	0	0
CSMIC-USD	0	0	0	0	0	0
CSNO-USD	0	0	0	0	0	0
CSTL-USD	0	0	0	0	0	0
CTC-USD	0	0	0	0	0	0
CTIC-USD	0	0	0	0	0	0
CTO-USD	0	0	0	0	0	0
CTR-USD	0	0	0	0	0	0
CTT-USD	0	0	0	0	0	0
CTX-USD	0	0	0	0	0	0
CUBE-USD	0	0	0	0	0	0
CURE-USD	0	0	0	0	0	0
CVC-USD	0	0	54.264	85.185	78.0875487914	0
CVCOIN-USD	0	0	0	0	0	0
CWXT-USD	0	0	0	0	0	0
CXC-USD	0	0	0	0	0	0
CXT-USD	0	0	0	0	0	0
CYC-USD	0	0	0	0	0	0
CYG-USD	0	0	0	0	0	0
CYP-USD	0	0	0	0	0	0
CYT-USD	0	0	0	0	0	0
CZC-USD	0	0	0	0	0	0
DANK-USD	0	0	0	0	0	0
DAR-USD	0	0	0	0	0	0
DARK-USD	0	0	0	0	0	0
DAS-USD	0	0	0	0	0	0
DASH-USD	0	0	47.021	83.704	73.08588650649	0
DAT-USD	0	0	0	0	0	0
DATA-USD	0	0	0	0	0	0
DAY-USD	0	0	0	0	0	0
DB-USD	0	0	0	0	0	0
DBET-USD	0	0	0	0	0	0
DBG-USD	0	0	0	0	0	0
DBIC-USD	0	0	0	0	0	0
DBIX-USD	0	0	0	0	0	0
DBR-USD	0	0	0	0	0	0
DBTC-USD	0	0	0	0	0	0
DCC-USD	0	0	0	0	0	0
DCK-USD	0	0	0	0	0	0
DCN-USD	0	0	47.476	38.381	69.90386026887	0
