"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"CNVRG.PSE",""Converge Information & Communications Technology Solutions Inc"","193587","16.3","43.096","46.6729","40.01","42.60548","16.710125","0","57.27733","43.096","1.61","47.086","-8.47","10.74","10.7","-0.37",""
"MEG.PSE","Megaworld Corporation","413307","46.4","42.949","50.5674","36.972","41.30682","16.154155","0","51.69195","42.949","7.58","45.076","-4.72","2.06","1.99","-3.4",""
"TBGI.PSE","Transpacific Broadband Group Int`l. Inc.","167223941","58.7","41.922","45.3903","49.62","30.75428","17.04555","2.61502","51.80125","41.922","13.66","47.527","-11.79","0.18","0.18","0",""
"FB.PSE","San Miguel Food and Beverage, Inc.","631008","15.65","41.486","59.4986","21.185","43.77524","50","84.45312","58.1878","41.486","1.56","43.288","-4.16","47.45","46.35","-2.32",""
"COSCO.PSE","Cosco Capital, Inc.","36112827","17.75","41.16","63.0811","20.252","40.1478","10.53404","1.4845","38.44694","41.16","17.71","39.441","4.36","4.95","4.99","0.81",""
"FGEN.PSE","First Gen Corporation","113221459","2.35","40.588","46.8632","34.011","40.89012","18.88548","0","40.36781","40.588","34.04","43.455","-6.6","19.5","20.8","6.67",""
"GLO.PSE","Globe Telecom, Inc.","207557","-10.3","40.077","50.1558","26.629","43.44762","11.411405","0","30.42256","40.077","0.34","41.125","-2.55","1720","1710","-0.58",""
"VLL.PSE","Vista Land & Lifescapes, Inc.","195957","17.2","39.898","51.594","24.071","44.02767","43.0492","4.91667","51.62949","39.898","1.14","40.41","-1.27","1.72","1.7","-1.16",""
"SPC.PSE","SPC Power Corporation","3430670","11.8","37.891","49.6397","23.746","40.28611","9.00822","0","34.93215","37.891","3.91","38.988","-2.81","9.15","9.13","-0.22",""
"V.PSE","Vantage Equities, Inc.","1542562","26.9","35.28","62.7222","17.4","25.71895","27.689035","0","28.65689","35.28","1.41","42.583","-17.15","0.72","0.72","0",""
"FLI.PSE","Filinvest Land, Inc.","41806481","13.85","32.498","52.6676","14.873","29.95295","12.67709","0","14.97458","32.498","6.58","37.209","-12.66","0.73","0.71","-2.74",""
