"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"BEL.PSE","Belle Corporation","286292","18.65","50.115","60.4319","55.942","33.97214","20.48273","1.19118","38.76775","50.115","3.39","57.825","-13.33","1.21","1.2","-0.83",""
"PGOLD.PSE","Puregold Price Club, Inc.","2083743","0.2","50.001","63.3991","38.905","47.69808","26.754725","1.92358","56.24548","50.001","3.07","47.967","4.24","30.7","30.65","-0.16",""
"LOTO.PSE","Pacific Online Systems Corporation","853545","20.55","49.904","70.6798","46.716","32.31695","79.170335","98.90301","52.3317","49.904","5.56","51.45","-3","1.87","1.8","-3.74",""
"ENEX.PSE","ENEX Energy Corp.","15091211","50","49.87","57.1048","51.568","40.93676","7.66303","0","42.47133","49.87","8.3","50.79","-1.81","9.8","9.34","-4.69",""
"AT.PSE","Atlas Consolidated Mining and Development Corporation","83218","-3.15","49.856","59.3627","44.268","45.93645","44.74715","21.03768","55.59319","49.856","7.29","49.163","1.41","4.15","4","-3.61",""
"DELM.PSE","Del Monte Pacific Limited","31636480","13.2","49.824","55.7503","49.39","44.33124","0","1.33979","29.18397","49.824","5.89","55.37","-10.02","9.79","9.55","-2.45",""
"AUB.PSE","Asia United Bank Corporation","665903","-34.95","49.164","65.2622","43.147","39.08221","77.80853","94.72795","51.4775","49.164","7.14","50.147","-1.96","42.8","44.95","5.02",""
"SHLPH.PSE","Pilipinas Shell Petroleum Corporation","400350","9.6","49.129","60.0697","42.669","44.64961","22.57025","0","50.17017","49.129","1.66","49.154","-0.05","15.7","15.6","-0.64",""
"ALI.PSE","Ayala Land, Inc.","1705003","29.65","49.016","59.7546","41.86","45.43482","9.60773","0","47.84713","49.016","9.35","50.75","-3.42","26.1","25.95","-0.57",""
"MEDIC.PSE","Medilines Distributors Inc","2601237","50","48.983","55.3275","58.159","33.46101","0","0","50.19119","48.983","1.64","50.712","-3.41","0.55","0.56","1.82",""
"TEL.PSE","PLDT Inc.","7733845","14.4","48.855","58.9389","38.558","49.0687","33.194595","2.75327","45.90717","48.855","3.23","49.361","-1.03","1213","1255","3.46",""
"SECB.PSE","Security Bank Corporation","1994369","25.6","48.458","60.143","41.899","43.33269","28.888705","23.17479","50.50736","48.458","4.97","50.166","-3.4","86.2","86.6","0.46",""
"AC.PSE","Ayala Corporation","749518","64","48.418","60.541","42.417","42.29642","17.37919","0","43.87856","48.418","9.95","48.63","-0.44","690.5","658","-4.71",""
"MM.PSE","MerryMart Consumer Corp.","376404","55.35","48.415","54.8404","48.512","41.89284","24.758665","0","61.0892","48.415","3.73","46.839","3.36","1.21","1.18","-2.48",""
"GMA7.PSE","GMA Network, Inc.","14286582","44.8","48.335","59.071","38.035","47.89894","50","56.01536","46.84692","48.335","0","52.436","-7.82","9.09","8.64","-4.95",""
"PNB.PSE","Philippine National Bank","3760312","29.6","48.193","60.1993","43.739","40.64084","9.114395","5.97714","36.74462","48.193","1.52","52.335","-7.91","18.64","18.5","-0.75",""
"PHA.PSE","Premiere Horizon Alliance Corporation","2013412","90.75","47.917","48.2807","65.96","29.51165","38.665145","0","64.60577","47.917","7.27","48.441","-1.08","0.265","0.242","-8.68",""
"SEVN.PSE","Philippine Seven Corporation","1025992","17.35","47.015","72.3343","29.862","38.84954","92.24104","98.66527","54.63231","47.015","7.32","46.436","1.25","86","85.5","-0.58",""
"HOME.PSE","AllHome Corp.","93918000","27.1","46.895","44.0535","57.795","38.83518","50","13.92498","67.7676","46.895","2.3","49.649","-5.55","1.69","1.63","-3.55",""
"CROWN.PSE","Crown Asia Chemicals Corporation ","60067577","22.75","46.795","64.6006","40.687","35.09595","89.59257","82.79621","50.33729","46.795","2.61","47.844","-2.19","1.5","1.51","0.67",""
"SMC2K.PSE","San Miguel Corp Preferred","49008399","50","46.686","62.8756","44.097","33.08489","0","0.68231","69.51167","46.686","4.06","46.676","0.02","70","71.3","1.86",""
"RFM.PSE","RFM Corporation","2034082","-30.6","46.633","55.577","52.662","31.66087","0","0.3994","58.59518","46.633","4.67","51.772","-9.93","3.22","3.36","4.35",""
"SGP.PSE","Synergy Grid & Development Phils., Inc.","15262980","-12","46.618","53.507","41.842","44.50633","0","0","28.63015","46.618","2.91","48.62","-4.12","8.51","8.14","-4.35",""
"SMC2F.PSE","San Miguel Corp Pref F","1879667","50","46.593","61.7773","43.493","34.50794","0","1.83574","27.82104","46.593","0","46.437","0.34","74.45","73.9","-0.74",""
"RLC.PSE","Robinsons Land Corporation","244045","16.55","46.347","55.2068","43.579","40.25415","0","0","40.60779","46.347","7.14","48.714","-4.86","14.36","14.02","-2.37",""
"MONDE.PSE","Monde Nissin Corp","599564","50","46.084","51.3396","44.596","42.31653","16.532755","0","45.43816","46.084","10.29","50.204","-8.21","8.76","7.85","-10.39",""
"ACEN.PSE","AC Energy Philippines, Inc.","301877996","47.85","45.768","53.7123","34.631","48.96129","1.433895","0","34.88044","45.768","3.96","48.052","-4.75","6.06","5.99","-1.16",""
"EW.PSE","East West Banking Corporation","9860058","9.1","45.288","56.1069","40.608","39.14776","36.062575","7.08722","41.74825","45.288","8.57","47.197","-4.04","7.03","7.06","0.43",""
"IMI.PSE","Integrated Micro-Electronics, Inc.","2131688","39.3","45.162","48.0729","50.801","36.61253","43.35624","2.68014","66.54938","45.162","16.33","45.567","-0.89","5.3","5.04","-4.91",""
"HLCM.PSE","Holcim Philippines, Inc.","2165817","41.4","44.986","56.4566","40.22","38.28215","21.394915","0","49.73235","44.986","5.41","45.322","-0.74","3.98","3.95","-0.75",""
"EEI.PSE","EEI Corporation","3591602","29.35","44.622","51.9932","41.084","40.78927","20.833625","13.91845","57.21636","44.622","89.02","36.75","21.42","5.8","5.67","-2.24",""
"ACPB1.PSE","Ayala Corp Pref","594529","50","44.604","63.2346","36.614","33.96198","49.7814","11.99977","38.24558","44.604","0.9","42.576","4.76","491.4","491","-0.08",""
"ABS.PSE","ABS-CBN Corporation","5238146","28.2","44.222","51.9928","40.964","39.70847","30.33245","13.08952","42.00275","44.222","11.27","44.563","-0.77","7.25","6.78","-6.48",""
"BSC.PSE","Basic Energy Corporation","979752","100","44.084","49.1208","49.692","33.43803","25.752115","0","52.31916","44.084","1.92","45.085","-2.22","0.23","0.223","-3.04",""
