[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR	Beta	OutlierPC	CloseToSMA6Ratio	UltraShortTerm_Score
DBI.AX	1.167	78.537	66.19	72.82	68.85	5	0.68	68.35	1.014	52.519
DCC.AX	2.042	88.688	43.07	43.95	46.89	5	2.69	40.61	0.962	28.499
DDR.AX	0.803	74.315	59.57	56.97	56.04	5	0.97	65.13	0.999	56.586
DEM.AX	0.022	65.255	49.8	42.53	49.25	5	2.19	65.41	1.031	40.476
DEV.AX	-0.89	54.68	58.62	36.47	44.98	5	1.15	51.92	0.996	73.864
DGL.AX	-0.461	59.658	51.26	45.56	43.67	5	0.66	57.01	1.0	67.287
DJW.AX	1.969	87.839	64.51	66.63	56.96	5	0.58	67.56	1.005	64.854
DMP.AX	-1.193	51.162	39.72	39.15	40.08	5	0.94	54.73	0.992	34.824
DOC.AX	1.701	84.736	59.34	48.04	52.07	5	-0.13	64.56	1.006	37.5
DOW.AX	3.533	99.8	59.57	49.05	53.62	5	1.08	59.33	0.996	54.855
DRE.AX	0.218	67.528	48.92	37.64	36.41	5	1.81	59.95	1.0	43.75
DRO.AX	5.901	99.8	48.03	47.97	49.18	5	2.32	46.25	0.904	48.926
DRX.AX	-0.52	58.969	36.3	37.07	36.42	5	0.51	45.81	0.977	30.556
DSK.AX	-0.061	64.293	37.51	33.79	34.67	5	0.58	38.03	0.997	31.288
DTL.AX	0.368	69.264	39.4	53.4	43.73	5	0.83	22.28	0.986	32.899
DTZ.AX	-0.552	58.593	46.6	42.41	37.94	5	1.19	38.12	0.941	46.354
DUG.AX	2.795	97.426	51.93	51.7	52.85	5	2.04	49.75	1.008	27.526
DUR.AX	0.318	68.691	48.52	41.75	39.08	5	1.33	39.54	0.982	71.476
DVP.AX	2.284	91.492	51.16	36.02	48.4	5	2.47	37.43	0.993	72.64
DXB.AX	-1.339	49.463	27.04	42.21	44.42	5	3.38	16.59	0.943	17.691
DXS.AX	0.585	71.784	51.24	61.48	54.01	5	0.77	54.23	0.998	53.722
DYL.AX	0.983	76.398	34.49	31.42	39.34	5	2.63	20.3	0.898	19.93
E25.AX	1.467	82.016	75.83	62.73	62.94	5	1.41	78.95	1.051	78.752
EBO.AX	0.716	73.309	55.54	70.03	62.1	5	0.34	66.57	1.001	40.623
EBR.AX	1.903	87.074	74.29	77.56	69.24	5	2.75	78.52	1.051	75.067
