"Symbol","Company Name","Wtd Sortino Score"
"SSR","Ssr Mining Inc","16.02905418403"
"CSR","CSR Ltd","15.547729566"
"YAR","Yari Minerals Ltd.","15.18033842911"
"CZL","Consolidated Zinc Ltd","15.18033842911"
"PNM","Pacific Nickel Mines Ltd","15.16097097991"
"BLD","Boral Ltd.","14.9961535167"
"PSI","PSC Insurance Group Ltd","14.93187313297"
"KOV","Korvest Ltd","14.80635771312"
"WOW","Woolworths Ltd","14.73698465227"
"GMD","Genesis Minerals Ltd","14.53650221006"
"REA","Rea Group Ltd","14.51162242447"
"IAG","Insurance Australia Group Ltd","14.42981154849"
"BSL","Bluescope Steel Ltd","14.31334667066"
"COI","Comet Ridge Ltd","14.27171495729"
"HRN","Horizon Gold Ltd","14.25921904042"
"CTD","Corporate Travel Managment Ltd","14.16807961"
"MMI","Metro Mining","14.14186416382"
"MXI","Maxiparts Ltd","13.89637567951"
"REH","Reece Ltd","13.88917242621"
"COL","Coles Group Ltd","13.71330826596"
"360","Life360 Inc","13.62858755115"
"MSB","Mesoblast Ltd","13.5123943056"
"EXP","Experience Co Ltd","13.49074771556"
"CSL","CSL Ltd","13.42369044673"
"TMS","Tennant Minerals NL","13.27256829235"
"IFM","Infomedia Ltd","13.01738373162"
"TMT","Technology Metals Australia Ltd","12.96080522324"
"PSC","Prospect Resources Ltd","12.937871575"
"S32","South32 Ltd","12.88837154663"
"CEN","Contact Energy Ltd","12.84351351193"
"HGO","Hillgrove Resources Ltd","12.48171604157"
"FBR","FBR Ltd","12.40510300281"
"EDC","Eildon Capital Ltd","12.38671964678"
"AMP","AMP Ltd","12.37990703871"
"DRE","Dreadnought Resources Ltd","12.15608449062"
"VHT","Volpara Health Technologies Ltd","12.12311853445"
"PL8","Plato Income Maximiser Ltd","12.0801002799"
"WES","Wesfarmers Ltd","12.05080448946"
"ALQ","ALS Ltd","11.66759152816"
"RDS","Redstone Resources Ltd","11.37460757661"
"LLO","Lion One Metals Ltd","11.0569179348"
"SND","Saunders International Ltd","10.97050819429"
"PE1","Pengana Private Equity Trust","10.96737969612"
"STO","Santos Ltd","10.88540190785"
