"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","Price last week","Price this week","Price move %"
"ROOT","Root Inc","146478893","94","73.065","99.8","71.342","48.05223","73.18159","55.82307","55.02605","73.065","78","67.85","-13.01",""
"FFNW","First Financial Northwest Inc","3308566","7.9","72.942","99.8","68.896","50.12959","94.987855","96.82448","65.29674","72.942","22.03","22.37","1.54",""
"CR","Crane Company","112673692","50.35","72.875","99.8","63.199","55.62569","50","97.28971","57.01869","72.875","151.28","158.87","5.02",""
"TKNO","Alpha Teknova Inc","223122833","-365","72.869","84.2544","88.556","45.79749","50","42.67397","74.63685","72.869","2.31","4.08","76.62",""
"ACIW","ACI Worldwide Inc","141745453","40.1","72.704","99.8","63.899","54.41439","79.692105","100","69.42898","72.704","41.5","42.99","3.59",""
"AEYE","AudioEye Inc","26712486","100","72.694","99.8","69.831","48.45036","50","92.26106","53.50946","72.694","20.71","27.15","31.1",""
"PHUN","Phunware Inc","847314","82.6","72.666","88.0393","89.786","40.17344","1.35837","0","56.02933","72.666","5.09","4.88","-4.13",""
"CURI","Curiositystream Inc.","6308905","49.1","72.645","80.9426","93.196","43.79601","71.46346","94.55069","84.47072","72.645","1.12","1.12","0",""
"REBN","Reborn Coffee Inc","93972","66.65","72.589","81.773","89.955","46.03794","50.903585","100","74.33892","72.589","5.82","5.01","-13.92",""
"AVPT","Avepoint Inc","1771172","40.8","72.585","99.8","64.59","53.36585","91.484075","100","67.01441","72.585","10.64","10.87","2.16",""
"TATT","Tat Techno","34550964","18.2","72.53","98.7459","67.77","51.07504","54.85638","99.63825","55.35424","72.53","14.35","14.46","0.77",""
"TME","Tencent Music Entertainment Group","129833","46.65","72.516","99.8","68.654","49.09387","50","98.5816","55.20038","72.516","14.49","14.09","-2.76",""
"CMPR","Cimpress NV","135879","56.05","72.484","99.8","65.606","52.04533","83.35097","73.99437","51.3428","72.484","92.51","90.78","-1.87",""
"VSMV","VictoryShares US Multi-Factor Minimum Volatility","186359","25.1","72.462","99.8","63.429","54.15706","100","100","47.61074","72.462","46.92","46.81","-0.23",""
