"Symbol","Company Name","ADTValue","Beta","Weighted Score","Wtd Sortino","Wtd BullishVolume","Wtd PriceUp","TDI","TII","MFI","Weighted Score","30D Max Move %","2x Offset Weighted Score","DeltaWeightedScore %","Price last week","Price this week","Price move %"
"EDU","New Oriental Education & Technology Grou","159171271","35.85","69.674","94.2885","64.441","50.29219","35.49307","11.46741","62.61625","69.674","3.13","67.527","3.18","36.97","42.76","15.66",""
"TGTX","TG Therapeutics Inc","2878807","-16.45","69.629","92.1363","66.669","50.0813","50","94.96898","64.1626","69.629","66.22","67.437","3.25","27.09","26.56","-1.96",""
"WFRD","Weatherford International PLC","85261868","95.15","69.596","96.9326","55.88","55.97536","50","59.22912","61.75444","69.596","5.45","71.057","-2.06","59.45","62.68","5.43",""
"IRDM","Iridium Communications Inc","41631740","77.95","69.351","97.0192","60.302","50.73171","51.98872","86.76269","48.21327","69.351","4.83","66.412","4.43","59.6","62.61","5.05",""
"WW","WW International Inc","12700610","100","69.35","78.7197","83.209","46.12269","70.89162","90.0925","76.9113","69.35","15.84","63.999","8.36","7.16","7.19","0.42",""
"DKS","DICK'S Sporting Goods, Inc","75392998","32.95","69.347","84.5225","71.23","52.28776","72.62381","100","58.68616","69.347","3.55","70.186","-1.2","121.64","128.41","5.57",""
"TGLS","Tecnoglass Inc","11750563","50","69.287","94.6049","57.895","55.3624","74.50455","100","66.7873","69.287","5.64","68.413","1.28","40.44","40.75","0.77",""
"PBPB","Potbelly Co","15794422","51.65","69.238","96.0713","62.957","48.68687","53.65105","99.95458","60.08374","69.238","9.75","66.787","3.67","7.75","8.32","7.35",""
"RCEL","Avita Medical Ltd","4614596","100","69.155","94.0463","66.456","46.96231","70.83708","100","62.59899","69.155","19.2","69.55","-0.57","10.73","13.67","27.4",""
"ACOR","Acorda Therapeutics Inc","5856793","50","69.094","69.0528","93.432","44.79626","16.025495","2.34383","57.96643","69.094","144.4","73.064","-5.43","13","10.04","-22.77",""
"STNG","Scorpio Tankers Inc","3830879","100","69.063","99.8","53.979","53.4102","50","95.24923","56.08875","69.063","0","69.635","-0.82","47.4","48.53","2.38",""
"SMCI","Super Micro Computer Inc","2881337","100","69.036","95.6721","56.823","54.61345","91.80418","100","58.99619","69.036","127.11","69.136","-0.14","209.95","221.94","5.71",""
