[Stock_List]SymbolExchange	sortino_ratio_raw	sortino_ratio_normalised	ta_score	risk_score	combo_score	CQR
NAB.AX	0	0	0	0	0	0
NAN.AX	0	0	0	0	0	4
NCM.AX	0	0	0	0	0	0
NEC.AX	0	0	0	0	0	1
NGI.AX	0	0	0	0	0	4
NHC.AX	0	0	0	0	0	1
NHF.AX	0	0	0	0	0	8
NMT.AX	0	0	0	0	0	10
NSC.AX	0	0	0	0	0	10
NSR.AX	0	0	0	0	0	4
NST.AX	0	0	0	0	0	2
NUF.AX	0	0	0	0	0	4
NVT.AX	0	0	0	0	0	10
NWH.AX	0	0	0	0	0	1
NWS.AX	0	0	0	0	0	0
NXT.AX	0	0	0	0	0	4
OBJ.AX	0	0	0	0	0	10
OEL.AX	0	0	0	0	0	10
OFX.AX	0	0	0	0	0	7
OGC.AX	0	0	0	0	0	0
OMH.AX	0	0	0	0	0	1
OML.AX	0	0	0	0	0	2
ORA.AX	0	0	0	0	0	2
ORE.AX	0	0	0	0	0	5
ORG.AX	0	0	0	0	0	5
ORI.AX	0	0	0	0	0	0
OSH.AX	0	0	0	0	0	2
OZL.AX	0	0	0	0	0	1
PAC.AX	0	0	0	0	0	2
PAN.AX	0	0	0	0	0	4
PDL.AX	0	0	0	0	0	6
PDN.AX	0	0	0	0	0	0
PEN.AX	0	0	0	0	0	10
PGH.AX	0	0	0	0	0	7
PIA.AX	0	0	0	0	0	10
PLS.AX	0	0	0	0	0	5
PMC.AX	0	0	0	0	0	6
PME.AX	0	0	0	0	0	7
PMP.AX	0	0	0	0	0	10
PMV.AX	0	0	0	0	0	0
PPT.AX	0	0	0	0	0	0
PRT.AX	0	0	0	0	0	3
PRU.AX	0	0	0	0	0	9
PRY.AX	0	0	0	0	0	10
PTM.AX	0	0	0	0	0	9
QAN.AX	0	0	0	0	0	1
QBE.AX	0	0	0	0	0	10
QIN.AX	0	0	0	0	0	0
QUB.AX	0	0	0	0	0	8
RCR.AX	0	0	0	0	0	6
REA.AX	0	0	0	0	0	0
RED.AX	0	0	0	0	0	9
REG.AX	0	0	0	0	0	7
REH.AX	0	0	0	0	0	3
RES.AX	0	0	0	0	0	10
RFG.AX	0	0	0	0	0	10
RHC.AX	0	0	0	0	0	0
RIC.AX	0	0	0	0	0	5
RIO.AX	0	0	0	0	0	0
RKN.AX	0	0	0	0	0	10
RMD.AX	0	0	0	0	0	5
RMS.AX	0	0	0	0	0	1
RRL.AX	0	0	0	0	0	1
RSG.AX	0	0	0	0	0	3
RWC.AX	0	0	0	0	0	3
S2R.AX	0	0	0	0	0	10
S32.AX	0	0	0	0	0	2
SAR.AX	0	0	0	0	0	1
SBM.AX	0	0	0	0	0	1
SCG.AX	0	0	0	0	0	3
SCP.AX	0	0	0	0	0	4
SDA.AX	0	0	0	0	0	3
